codigo_ibge_7,nome_municipio_ibge,codigo_uf_ibge,nome_uf_ibge,regiao,observacoes_validas,correlacao_spearman,correlacao_valida,variavel_climatica,lag_semanas
1100015,Alta Floresta D'Oeste,11,Rondônia,Norte,522,0.045070909917451926,True,temperatura_media_c,0
1100023,Ariquemes,11,Rondônia,Norte,522,-0.16254349338174148,True,temperatura_media_c,0
1100031,Cabixi,11,Rondônia,Norte,522,-0.022387155250040293,True,temperatura_media_c,0
1100049,Cacoal,11,Rondônia,Norte,522,-0.24275884915256743,True,temperatura_media_c,0
1100056,Cerejeiras,11,Rondônia,Norte,522,-0.11360462221901178,True,temperatura_media_c,0
1100064,Colorado do Oeste,11,Rondônia,Norte,522,-0.05600046929515167,True,temperatura_media_c,0
1100072,Corumbiara,11,Rondônia,Norte,522,-0.12358399904605417,True,temperatura_media_c,0
1100080,Costa Marques,11,Rondônia,Norte,522,-0.0373021549055086,True,temperatura_media_c,0
1100098,Espigão D'Oeste,11,Rondônia,Norte,522,-0.21385496326492032,True,temperatura_media_c,0
1100106,Guajará-Mirim,11,Rondônia,Norte,522,-0.289812672571866,True,temperatura_media_c,0
1100114,Jaru,11,Rondônia,Norte,522,-0.20314075043163315,True,temperatura_media_c,0
1100122,Ji-Paraná,11,Rondônia,Norte,522,-0.19924922567185244,True,temperatura_media_c,0
1100130,Machadinho D'Oeste,11,Rondônia,Norte,522,-0.23328974926526366,True,temperatura_media_c,0
1100148,Nova Brasilândia D'Oeste,11,Rondônia,Norte,522,-0.1950211318198438,True,temperatura_media_c,0
1100155,Ouro Preto do Oeste,11,Rondônia,Norte,522,-0.2529622759033596,True,temperatura_media_c,0
1100189,Pimenta Bueno,11,Rondônia,Norte,522,-0.1244376026928729,True,temperatura_media_c,0
1100205,Porto Velho,11,Rondônia,Norte,522,-0.235285815754647,True,temperatura_media_c,0
1100254,Presidente Médici,11,Rondônia,Norte,522,-0.19390737604857197,True,temperatura_media_c,0
1100262,Rio Crespo,11,Rondônia,Norte,522,-0.1267211834856532,True,temperatura_media_c,0
1100288,Rolim de Moura,11,Rondônia,Norte,522,-0.08814357140287134,True,temperatura_media_c,0
1100296,Santa Luzia D'Oeste,11,Rondônia,Norte,522,-0.11444083707584513,True,temperatura_media_c,0
1100304,Vilhena,11,Rondônia,Norte,522,-0.06200785989991238,True,temperatura_media_c,0
1100320,São Miguel do Guaporé,11,Rondônia,Norte,522,-0.07351225398838945,True,temperatura_media_c,0
1100338,Nova Mamoré,11,Rondônia,Norte,522,-0.17797433320099906,True,temperatura_media_c,0
