variavel_climatica,lag_semanas,municipios_total,municipios_correlacao_valida,observacoes_validas_mediana,correlacao_media,correlacao_mediana,correlacao_p10,correlacao_p25,correlacao_p75,correlacao_p90,proporcao_correlacao_positiva,proporcao_correlacao_negativa
temperatura_media_c,0,5570.0,5560.0,522.0,-0.00918081530158051,0.0025233651780275186,-0.1818106474958014,-0.09904645002599419,0.08033780529977566,0.15121633871830967,0.5075539568345324,0.49244604316546764
umidade_relativa_media_pct,0,5570.0,5560.0,522.0,0.12871137456870274,0.12165188576069128,0.011600180404506728,0.060809476805393725,0.19227354205989394,0.25457680765792173,0.9296762589928057,0.07032374100719424
precipitacao_total_mm,0,5570.0,5560.0,522.0,0.06453952676135925,0.05604065880129754,-0.04252377987726741,0.0012973917595205354,0.11840658752525052,0.18462925771162048,0.7550359712230216,0.24496402877697843
temperatura_media_c,1,5570.0,5560.0,521.0,0.010537148301516478,0.02757223949834716,-0.18064458760499671,-0.0889371897111033,0.11084590999999912,0.18161998142698266,0.5678057553956835,0.43219424460431655
umidade_relativa_media_pct,1,5570.0,5560.0,521.0,0.1399227259841634,0.133085948801884,0.0188843867219025,0.06627550814170985,0.20683133781999208,0.27197178729218635,0.9402877697841726,0.059532374100719425
precipitacao_total_mm,1,5570.0,5560.0,521.0,0.08348625519581203,0.07309424568405527,-0.021195084773041245,0.01841521468548177,0.13834349799764614,0.20337598134089246,0.8307553956834532,0.16924460431654675
temperatura_media_c,2,5570.0,5560.0,520.0,0.029344762146753724,0.050874145279025326,-0.17965806870798173,-0.08100999039420849,0.13936909292387695,0.2087645854450165,0.608453237410072,0.39154676258992804
umidade_relativa_media_pct,2,5570.0,5560.0,520.0,0.1482938982048386,0.13754337783922604,0.022071696796561253,0.07012833777757703,0.21990209972821448,0.2870877492578915,0.9474820143884892,0.05251798561151079
precipitacao_total_mm,2,5570.0,5560.0,520.0,0.10146269486855546,0.08966191270337796,-0.0015336425158406811,0.0359602780132176,0.15894375136365488,0.2218336391327968,0.8946043165467625,0.10539568345323741
temperatura_media_c,3,5570.0,5560.0,519.0,0.04779986132840289,0.07375794977930293,-0.17611868083973817,-0.06913605289614388,0.16704183975372586,0.23563997445517001,0.6320143884892087,0.36798561151079134
umidade_relativa_media_pct,3,5570.0,5560.0,519.0,0.15423821775546492,0.14262907351610507,0.021104311840753655,0.07081065258662862,0.22791794470553361,0.30160395178350524,0.9406474820143885,0.05935251798561151
precipitacao_total_mm,3,5570.0,5560.0,519.0,0.11744430471933033,0.10634255045478114,0.008880681607299793,0.050702347015617405,0.17636416290075418,0.24134441623656067,0.9239208633093525,0.07607913669064748
temperatura_media_c,4,5570.0,5560.0,518.0,0.0660151359689206,0.09575688210213809,-0.17123420285862945,-0.05912937683671068,0.19382170366371637,0.26120244547780286,0.6589928057553956,0.3408273381294964
umidade_relativa_media_pct,4,5570.0,5560.0,518.0,0.1592549003745095,0.14828917007455317,0.017439112163030183,0.07123172115095837,0.23631322526015958,0.3139144377814883,0.9332733812949641,0.06672661870503598
precipitacao_total_mm,4,5570.0,5560.0,518.0,0.13319347734725834,0.12575586831632177,0.022144421457845457,0.06283585373483885,0.19296557193183644,0.2598799218618357,0.945863309352518,0.054136690647482014
temperatura_media_c,6,5570.0,5560.0,516.0,0.10173630516062161,0.13678483937567026,-0.15560190929735518,-0.0335454641251149,0.24230882480277724,0.31016183089611415,0.7066546762589928,0.2933453237410072
umidade_relativa_media_pct,6,5570.0,5560.0,516.0,0.1575634637297678,0.1472654032589975,0.004963810763206911,0.05998514563104003,0.24209851831711543,0.32587546250996646,0.9100719424460432,0.08992805755395683
precipitacao_total_mm,6,5570.0,5560.0,516.0,0.15469521590393712,0.15046986928603018,0.029591963559069318,0.07700162416858362,0.22016217500956717,0.288643313695521,0.958273381294964,0.041726618705035974
temperatura_media_c,8,5570.0,5560.0,514.0,0.13101080096490142,0.1676437266631482,-0.1347067571950386,-0.0016121313386632027,0.27577484738618396,0.34291790609226885,0.7474820143884892,0.2525179856115108
umidade_relativa_media_pct,8,5570.0,5560.0,514.0,0.14599745005662648,0.13417336419808856,-0.015658166788098928,0.04499884736762241,0.23345751111761662,0.3266234692313848,0.8676258992805755,0.13237410071942446
precipitacao_total_mm,8,5570.0,5560.0,514.0,0.16579608658501155,0.16131474476386276,0.025987271699562657,0.08178998573050887,0.2383507582130519,0.3102824748855454,0.9543165467625899,0.04568345323741007
