regiao,variavel_climatica,lag_semanas,municipios_total,municipios_correlacao_valida,observacoes_validas_mediana,correlacao_media,correlacao_mediana,correlacao_p10,correlacao_p25,correlacao_p75,correlacao_p90,proporcao_correlacao_positiva,proporcao_correlacao_negativa
Norte,temperatura_media_c,0,450.0,450.0,522.0,-0.11438533820690665,-0.11313936951492354,-0.2523827486503799,-0.19417947717632433,-0.022389991406823583,0.025710998907926524,0.17777777777777778,0.8222222222222222
Nordeste,temperatura_media_c,0,1793.0,1793.0,522.0,-0.09030194050101506,-0.09604476047838297,-0.22518798152589864,-0.16359702189476133,-0.02150670354368216,0.052720378151630116,0.20022308979364195,0.7997769102063581
Sudeste,temperatura_media_c,0,1668.0,1668.0,522.0,0.09224734159683012,0.0973627801130309,-0.039554726339503875,0.022232987892894428,0.16169781564142918,0.21720078338406293,0.8177458033573142,0.18225419664268586
Sul,temperatura_media_c,0,1191.0,1181.0,522.0,0.04349189957241344,0.042236962258974775,-0.027431567676554306,0.008253083494082308,0.08031686367664613,0.11437599712750703,0.7984758679085521,0.20152413209144793
Centro-Oeste,temperatura_media_c,0,468.0,468.0,522.0,-0.0916518178288302,-0.09470002656564944,-0.19943595762216815,-0.15258026960126359,-0.03296477625841176,0.02875388995242159,0.1623931623931624,0.8376068376068376
Norte,umidade_relativa_media_pct,0,450.0,450.0,522.0,0.16022408397290683,0.15798459479243732,0.008036059759985408,0.07178632151286579,0.23076083441737438,0.3050177561144564,0.9155555555555556,0.08444444444444445
Nordeste,umidade_relativa_media_pct,0,1793.0,1793.0,522.0,0.1679516151544693,0.16889192125062705,0.0557887918597429,0.10817397470781505,0.2248976541584108,0.2777711773405346,0.9765755716675962,0.023424428332403793
Sudeste,umidade_relativa_media_pct,0,1668.0,1668.0,522.0,0.1038122856954019,0.10371938137968761,0.0016048918195196902,0.04773863592843791,0.15668248472285318,0.21352316230435492,0.9046762589928058,0.09532374100719425
Sul,umidade_relativa_media_pct,0,1191.0,1181.0,522.0,0.06358811872593621,0.06386343688541415,-0.006403635757315455,0.024934527529598672,0.10262053157694764,0.13630385762196467,0.8772226926333616,0.12277730736663844
Centro-Oeste,umidade_relativa_media_pct,0,468.0,468.0,522.0,0.20115533779263822,0.19763604400585816,0.09409667052447447,0.13569349242663764,0.2583637513635932,0.31940357306345285,0.9850427350427351,0.014957264957264958
Norte,precipitacao_total_mm,0,450.0,450.0,522.0,0.14248658773860004,0.13677087590068665,0.017488260751676084,0.07049482991349852,0.2062434428424312,0.26933251669806085,0.9288888888888889,0.07111111111111111
Nordeste,precipitacao_total_mm,0,1793.0,1793.0,522.0,0.11232665064105225,0.11053640017100348,0.014058332657914407,0.05835697584328877,0.1680239629537843,0.210334820150843,0.928053541550474,0.07194645844952594
Sudeste,precipitacao_total_mm,0,1668.0,1668.0,522.0,0.016575762666948702,0.014632497724705902,-0.0629939384518812,-0.030699559425592056,0.05872798136207901,0.10255678947986804,0.5779376498800959,0.42206235011990406
Sul,precipitacao_total_mm,0,1191.0,1181.0,522.0,0.017689139969627735,0.019226903925570023,-0.051662762604655035,-0.02042135815906318,0.056985979256944916,0.08266915568397919,0.6299745977984759,0.37002540220152413
Centro-Oeste,precipitacao_total_mm,0,468.0,468.0,522.0,0.09568348991192299,0.09310471964970135,-0.008331043271315973,0.032328242361912174,0.14743667053834622,0.19979486214188572,0.8717948717948718,0.1282051282051282
Norte,temperatura_media_c,1,450.0,450.0,521.0,-0.1172172198579222,-0.10575497748944629,-0.25930293561069334,-0.20165463031714617,-0.02837872967294674,0.030071751589339026,0.17333333333333334,0.8266666666666667
Nordeste,temperatura_media_c,1,1793.0,1793.0,521.0,-0.08347463674667359,-0.09052510655842431,-0.22816819950403466,-0.16287343339067045,-0.007991887714365962,0.07725798680807222,0.2308979364194088,0.7691020635805912
