horizonte,fold,treino_inicio,treino_fim,validacao_ano,linhas_treino,linhas_validacao,geral_observacoes,geral_positivos,geral_prevalencia,early_warning_observacoes,early_warning_positivos,early_warning_prevalencia,geral_pr_auc_average_precision,early_warning_pr_auc_average_precision,geral_roc_auc,early_warning_roc_auc,geral_recall,early_warning_recall,geral_precision,early_warning_precision,geral_f1,early_warning_f1,geral_balanced_accuracy,early_warning_balanced_accuracy,geral_brier_score,early_warning_brier_score
1,fold_1,2018,2020,2021,868764,284019,284019,25009,0.08805396822043596,259449,4121,0.015883661143423176,0.7245649926671164,0.015883661143423176,0.9105018268478364,0.5,0.835219321044424,0.0,0.8501424501424502,0.0,0.8426148167570947,0.0,0.9105018268478364,0.5,0.02747351409588795,0.015883661143423176
1,fold_2,2018,2021,2022,1158352,284019,284019,62392,0.21967544424844818,221748,8020,0.03616718076374984,0.7891520632127303,0.03616718076374984,0.9179084574461726,0.5,0.8714578792152841,0.0,0.8731512260924026,0.0,0.8723037308583942,0.0,0.9179084574461726,0.5,0.056049067139874446,0.03616718076374984
1,fold_3,2018,2022,2023,1447940,284019,284019,53476,0.1882831782380756,231044,7472,0.03234016031578401,0.773378120964634,0.03234016031578401,0.9150182291812932,0.5,0.8602737676714788,0.0,0.8684096271826334,0.0,0.8643225521601487,0.0,0.9150182291812932,0.5,0.05085223171689218,0.03234016031578401
1,fold_4,2018,2023,2024,1737528,284019,284019,97318,0.3426460905784472,186544,9107,0.04881958143923149,0.8523389940806821,0.04881958143923149,0.9284003722434832,0.5,0.9064201894819047,0.0,0.9049602462169787,0.0,0.9056896295041403,0.0,0.9284003722434832,0.5,0.0646822923818477,0.04881958143923149
2,fold_1,2018,2020,2021,863195,278450,278450,24738,0.08884180283713414,254675,7165,0.028133896142141946,0.5507890368444682,0.028133896142141946,0.842959790592545,0.5,0.7103646212304956,0.0,0.7391377497371189,0.0,0.7244656071568446,0.0,0.8429597905925449,0.5,0.048005027832645,0.028133896142141946
2,fold_2,2018,2021,2022,1152783,278450,278450,61694,0.22156221942898185,217125,14012,0.0645342544617156,0.6512577250779412,0.0645342544617156,0.8549686536309632,0.5,0.7728790482056602,0.0,0.7775295556461476,0.0,0.7751973272421333,0.0,0.8549686536309631,0.5,0.09931765128389299,0.0645342544617156
2,fold_3,2018,2022,2023,1442371,278450,278450,52815,0.18967498653259113,226717,12952,0.05712849058517888,0.6281020642942275,0.05712849058517888,0.8510797757995627,0.5,0.7547666382656443,0.0,0.7705526453134363,0.0,0.7625779546237135,0.0,0.8510797757995627,0.5,0.08914347279583408,0.05712849058517888
2,fold_4,2018,2023,2024,1731959,278450,278450,95900,0.3444065361824385,182221,15500,0.08506154614451682,0.7561320283446263,0.08506154614451682,0.8758314076249767,0.5,0.8383733055265902,0.0,0.8355069677540035,0.0,0.836937682494574,0.0,0.8758314076249768,0.5,0.11251212066798348,0.08506154614451682
3,fold_1,2018,2020,2021,857626,272881,272881,24432,0.08953353293193736,249891,9670,0.03869687183612055,0.42340156999789935,0.03869687183612055,0.7855450679341418,0.5,0.60420759659463,0.0,0.6421052631578947,0.0,0.622580237020792,0.0,0.7855450679341418,0.5,0.06558902965028712,0.03869687183612055
3,fold_2,2018,2021,2022,1147214,272881,272881,60973,0.22344172001715032,212527,18972,0.08926865762938356,0.5489000955907686,0.08926865762938356,0.8011187715678523,0.5,0.6888458826037754,0.0,0.6959107929880373,0.0,0.6923603155109744,0.0,0.8011187715678523,0.5,0.13678123431092673,0.08926865762938356
3,fold_3,2018,2022,2023,1436802,272881,272881,52094,0.1909037272657312,222378,17355,0.07804279200280603,0.5223002100579487,0.07804279200280603,0.7977265486870685,0.5,0.6668522286635697,0.0,0.6878601271211611,0.0,0.6771932902521516,0.0,0.7977265486870685,0.5,0.12136792228114086,0.07804279200280603
3,fold_4,2018,2023,2024,1726390,272881,272881,94311,0.3456121899289434,177938,20706,0.11636637480470725,0.6809265386356139,0.11636637480470725,0.8304780162578865,0.5,0.7804497884658206,0.0,0.7752546264600866,0.0,0.777843533029685,0.0,0.8304780162578864,0.5,0.15407448668100748,0.11636637480470725
4,fold_1,2018,2020,2021,852057,267312,267312,24155,0.09036257257437003,245070,11811,0.04819439343860938,0.3278004677705046,0.04819439343860938,0.7351633510248355,0.5,0.5110329124404885,0.0,0.55498606240446,0.0,0.53210336875229,0.0,0.7351633510248355,0.5,0.08121221643622434,0.04819439343860938
4,fold_2,2018,2021,2022,1141645,267312,267312,60200,0.2252050038905848,207946,23294,0.11201946659228838,0.46825980601416967,0.11201946659228838,0.7523063689102557,0.5,0.6130564784053156,0.0,0.621668968770003,0.0,0.6173326865496881,0.0,0.7523063689102556,0.5,0.1711632848506614,0.11201946659228838
4,fold_3,2018,2022,2023,1431233,267312,267312,51293,0.1918843897767403,218000,21055,0.09658256880733945,0.44025490464885175,0.09658256880733945,0.7506086749487405,0.5,0.5895151385179265,0.0,0.6131975989617132,0.0,0.6011232046120968,0.0,0.7506086749487405,0.5,0.1501204584904531,0.09658256880733945
4,fold_4,2018,2023,2024,1720821,267312,267312,92488,0.34599269767163465,173601,24960,0.14377797362918415,0.6195025181013033,0.14377797362918415,0.7901796925955457,0.5,0.7301271516304818,0.0,0.7205984356158829,0.0,0.7253315001691738,0.0,0.7901796925955457,0.5,0.19132324774046808,0.14377797362918415
