modelo,horizonte,fold,treino_inicio,treino_fim,validacao_ano,linhas_treino,positivos_treino,prevalencia_treino,linhas_validacao,threshold,tempo_treinamento_segundos,tempo_predicao_segundos,geral_observacoes,geral_positivos,geral_negativos,geral_prevalencia,geral_pr_auc_average_precision,geral_roc_auc,geral_recall,geral_precision,geral_f1,geral_balanced_accuracy,geral_brier_score,geral_tn,geral_fp,geral_fn,geral_tp,early_warning_observacoes,early_warning_positivos,early_warning_negativos,early_warning_prevalencia,early_warning_pr_auc_average_precision,early_warning_roc_auc,early_warning_recall,early_warning_precision,early_warning_f1,early_warning_balanced_accuracy,early_warning_brier_score,early_warning_tn,early_warning_fp,early_warning_fn,early_warning_tp
logistic_regression,1,fold_1,2018,2020,2021,868764,136119,0.1566812160724892,284019,0.5,1.5117014000006748,0.030651600000055623,284019,25009,259010,0.08805396822043596,0.8897133658479103,0.961996976328088,0.8338598104682314,0.8826716329467535,0.8575717076179706,0.9115787604906695,0.020631635361062127,256238,2772,4155,20854,259449,4121,255328,0.015883661143423176,0.1432616642410657,0.7903914639440117,0.03421499636010677,0.5617529880478087,0.06450137236962489,0.5168920889809057,0.014897461866475257,255218,110,3980,141
hist_gradient_boosting,1,fold_1,2018,2020,2021,868764,136119,0.1566812160724892,284019,0.5,6.850800700000036,0.6428992999990442,284019,25009,259010,0.08805396822043596,0.9280990458313867,0.9782487416919392,0.8320204726298532,0.9340994792601903,0.8801099714497198,0.9131763688966802,0.01646491519554814,257542,1468,4201,20808,259449,4121,255328,0.015883661143423176,0.24845058011480106,0.8802343546784223,0.08274690609075468,0.5711892797319933,0.14455277660025434,0.5408721370909971,0.013454849913074182,255072,256,3780,341
logistic_regression,1,fold_2,2018,2021,2022,1158352,161367,0.1393073953340608,284019,0.5,1.9748137000005954,0.03371069999957399,284019,62392,221627,0.21967544424844818,0.9341880221947162,0.9642572059637428,0.8687652263110656,0.9076204350228563,0.8877678871209453,0.9219360249690753,0.040400186935657195,216110,5517,8188,54204,221748,8020,213728,0.03616718076374984,0.23144585747823745,0.7770125922630726,0.06807980049875312,0.6127946127946128,0.12254516889238021,0.5332327996355122,0.0324829425292995,213383,345,7474,546
hist_gradient_boosting,1,fold_2,2018,2021,2022,1158352,161367,0.1393073953340608,284019,0.5,6.627884400000767,0.6735645000007935,284019,62392,221627,0.21967544424844818,0.9564887833175388,0.9775371331253281,0.8642774714707013,0.9511915471591611,0.9056540396194251,0.9258962652782312,0.0323779070978046,218860,2767,8468,53924,221748,8020,213728,0.03616718076374984,0.306380432639965,0.8573893177997887,0.11221945137157108,0.6151742993848257,0.18981335020563114,0.5547926310608418,0.02925628458622088,213165,563,7120,900
logistic_regression,1,fold_3,2018,2022,2023,1447940,224436,0.15500366037266738,284019,0.5,2.262908000000607,0.032492700000148034,284019,53476,230543,0.1882831782380756,0.9234105562356584,0.9655431344764186,0.8604794674246391,0.8950070993717543,0.8774037315638437,0.9185325901425734,0.037824951915270605,225145,5398,7461,46015,231044,7472,223572,0.03234016031578401,0.21662914604597705,0.8004866128161636,0.05527301927194861,0.5634379263301501,0.10067032297379647,0.526920856513043,0.029337912237293838,223252,320,7059,413
hist_gradient_boosting,1,fold_3,2018,2022,2023,1447940,224436,0.15500366037266738,284019,0.5,8.194684999998572,0.6829037000006792,284019,53476,230543,0.1882831782380756,0.9497366601233296,0.9782044015269914,0.8536726755927893,0.9424625294190512,0.8958729909531565,0.9207919122445454,0.030361961194736387,227756,2787,7825,45651,231044,7472,223572,0.03234016031578401,0.284240584632158,0.8722658383604325,0.09207708779443255,0.563011456628478,0.1582700713135496,0.5448442977483247,0.026522519718167412,223038,534,6784,688
logistic_regression,1,fold_4,2018,2023,2024,1737528,278541,0.160308783513129,284019,0.5,2.470914700001231,0.024830000000292785,284019,97318,186701,0.3426460905784472,0.962418316878698,0.9729476221067075,0.9058961343225302,0.9245839057796982,0.9151446262761523,0.9336900021267982,0.047615761575463544,179510,7191,9158,88160,186544,9107,177437,0.04881958143923149,0.2661932707835253,0.8025067843153866,0.07389919841879873,0.5913884007029877,0.1313811615422157,0.5356392749816453,0.04339653539679817,176972,465,8434,673
hist_gradient_boosting,1,fold_4,2018,2023,2024,1737528,278541,0.160308783513129,284019,0.5,9.774338200000784,0.6842020000003686,284019,97318,186701,0.3426460905784472,0.9763499395000387,0.982276512207066,0.9021249922933064,0.9567780817140553,0.9286481169047531,0.9404412354142522,0.03749501037750374,182735,3966,9525,87793,186544,9107,177437,0.04881958143923149,0.32430441812960287,0.8581935244431432,0.10069177555726365,0.591231463571889,0.17207731281666355,0.5485593381863821,0.038714313815468915,176803,634,8190,917
logistic_regression,2,fold_1,2018,2020,2021,863195,135934,0.1574777425726516,278450,0.5,1.0377422999990813,0.022735000000466243,278450,24738,253712,0.08884180283713414,0.7727822273959067,0.9168862476253821,0.7002587112943649,0.801063583815029,0.7472769234087526,0.8416512387272101,0.03518953897373559,249410,4302,7415,17323,254675,7165,247510,0.028133896142141946,0.15143169764235956,0.7408586653564971,0.03531053733426378,0.55119825708061,0.06636935991605457,0.5172391238649017,0.026124734783875853,247304,206,6912,253
hist_gradient_boosting,2,fold_1,2018,2020,2021,863195,135934,0.1574777425726516,278450,0.5,4.942151699999158,0.6170105000001058,278450,24738,253712,0.08884180283713414,0.8384006187887212,0.9487192282817691,0.698641765704584,0.872570303428081,0.7759793467280278,0.8443467389410856,0.029138073043634055,251188,2524,7455,17283,254675,7165,247510,0.028133896142141946,0.25096992477573643,0.8436022958943231,0.09546406140963015,0.5253456221198156,0.16156844218731545,0.5464835962981245,0.023784808505314656,246892,618,6481,684
