horizonte,ano_avaliacao,selecao_ano_inicio,selecao_ano_fim,selecao_anos,selecao_observacoes_early,selecao_positivos_early,threshold_selecionado,selecao_f1,selecao_precision,selecao_recall,selecao_proporcao_alertas,selecionado_early_observacoes,selecionado_early_positivos,selecionado_early_negativos,selecionado_early_alertas,selecionado_early_proporcao_alertas,selecionado_early_precision,selecionado_early_recall,selecionado_early_f1,selecionado_early_tn,selecionado_early_fp,selecionado_early_fn,selecionado_early_tp,selecionado_geral_observacoes,selecionado_geral_positivos,selecionado_geral_negativos,selecionado_geral_alertas,selecionado_geral_proporcao_alertas,selecionado_geral_precision,selecionado_geral_recall,selecionado_geral_f1,selecionado_geral_tn,selecionado_geral_fp,selecionado_geral_fn,selecionado_geral_tp,fixo_05_early_observacoes,fixo_05_early_positivos,fixo_05_early_negativos,fixo_05_early_alertas,fixo_05_early_proporcao_alertas,fixo_05_early_precision,fixo_05_early_recall,fixo_05_early_f1,fixo_05_early_tn,fixo_05_early_fp,fixo_05_early_fn,fixo_05_early_tp,fixo_05_geral_observacoes,fixo_05_geral_positivos,fixo_05_geral_negativos,fixo_05_geral_alertas,fixo_05_geral_proporcao_alertas,fixo_05_geral_precision,fixo_05_geral_recall,fixo_05_geral_f1,fixo_05_geral_tn,fixo_05_geral_fp,fixo_05_geral_fn,fixo_05_geral_tp,delta_f1_early_vs_05,delta_recall_early_vs_05,delta_precision_early_vs_05
1,2022,2021,2021,1,259449,4121,0.19750773234800734,0.3303911953797537,0.2998417721518987,0.3678718757583111,0.01948745225458568,221748,8020,213728,7742,0.03491350542056749,0.3762593645052958,0.36321695760598505,0.3696231442710316,208899,4829,5107,2913,284019,62392,221627,65434,0.23038599530313114,0.8679891188067366,0.9103090139761508,0.8886455024799337,212989,8638,5596,56796,221748,8020,213728,1463,0.006597579234085538,0.6151742993848257,0.11221945137157108,0.18981335020563114,213165,563,7120,900,284019,62392,221627,56691,0.19960284347173957,0.9511915471591611,0.8642774714707013,0.9056540396194251,218860,2767,8468,53924,0.17980979406540046,0.25099750623441397,-0.23891493487952992
1,2023,2021,2022,2,481197,12141,0.1747046611492075,0.35608531054387343,0.3267299490989132,0.39123630672926446,0.030212158429915398,231044,7472,223572,9639,0.04171932618895102,0.3207801639174188,0.4138115631691649,0.3614049441879493,217025,6547,4380,3092,284019,53476,230543,59073,0.20798960632915403,0.8255040373774821,0.9119044057147131,0.8665559000968467,220235,10308,4711,48765,231044,7472,223572,1222,0.0052890358546424055,0.563011456628478,0.09207708779443255,0.1582700713135496,223038,534,6784,688,284019,53476,230543,48438,0.17054492833225945,0.9424625294190512,0.8536726755927893,0.8958729909531565,227756,2787,7825,45651,0.20313487287439969,0.3217344753747323,-0.24223129271105914
1,2024,2021,2023,3,712241,19613,0.17466994816796824,0.3581769192126776,0.32434556056407926,0.3998878295008413,0.03395058695020365,186544,9107,177437,12275,0.06580216999742688,0.3383299389002037,0.4560228395739541,0.3884575811430175,169315,8122,4954,4153,284019,97318,186701,105539,0.3715913371992719,0.8709481802935408,0.9445220822458332,0.9062443001720424,173081,13620,5399,91919,186544,9107,177437,1551,0.008314392314949823,0.591231463571889,0.10069177555726365,0.17207731281666355,176803,634,8190,917,284019,97318,186701,91759,0.3230734563532721,0.9567780817140553,0.9021249922933064,0.928648116904753,182735,3966,9525,87793,0.21638026832635393,0.35533106401669046,-0.25290152467168536
2,2022,2021,2021,1,254675,7165,0.21715740107119189,0.3393947806774015,0.337567306364766,0.34124214933705516,0.028440168842642582,217125,14012,203113,11198,0.05157397812320092,0.4207894266833363,0.336283185840708,0.37381991273304244,196627,6486,9300,4712,278450,61694,216756,65558,0.23543903752917938,0.781308154611184,0.8302428112944533,0.8050325338698017,202419,14337,10473,51221,217125,14012,203113,2682,0.012352331606217617,0.6230425055928411,0.11925492435055667,0.2001916856355577,202102,1011,12341,1671,278450,61694,216756,50768,0.182323576943796,0.9088402143082257,0.7478847213667456,0.8205438281375043,212128,4628,15554,46140,0.17362822709748474,0.2170282614901513,-0.20225307890950484
2,2023,2021,2022,2,471800,21177,0.19182386415973662,0.36519421172886524,0.3681558616056433,0.36227983189309154,0.04416913946587537,226717,12952,213765,13503,0.05955883325908511,0.363993186699252,0.3794780728844966,0.37157437157437156,205177,8588,8037,4915,278450,52815,225635,60307,0.2165810738014006,0.7304293033976156,0.8340433588942535,0.7788051837838793,209378,16257,8765,44050,226717,12952,213765,2424,0.010691743451086597,0.5536303630363036,0.10361334156886967,0.17455775234131113,212683,1082,11610,1342,278450,52815,225635,43335,0.15562937690788292,0.8926502826814353,0.7324245006153555,0.8046385855434218,220983,4652,14132,38683,0.19701661923306044,0.27586473131562694,-0.18963717633705163
2,2024,2021,2023,3,698517,34129,0.19182386415973662,0.36765930101794925,0.3665191310931221,0.36880658677371153,0.04916415777998245,182221,15500,166721,16371,0.08984145625366999,0.3858041659031214,0.4074838709677419,0.39634777697593426,156666,10055,9184,6316,278450,95900,182550,107474,0.3859723469204525,0.7988257625100024,0.8952346193952033,0.8442868803288522,160929,21621,10047,85853,182221,15500,166721,3072,0.01685864966167456,0.587890625,0.11651612903225807,0.19448632349773856,165455,1266,13694,1806,278450,95900,182550,85060,0.3054767462740169,0.9246061603573947,0.8200938477580814,0.8692197170645446,176137,6413,17253,78647,0.2018614534781957,0.29096774193548386,-0.2020864590968786
3,2022,2021,2021,1,249891,9670,0.18475903415554684,0.30305486600131726,0.29705035256728574,0.3093071354705274,0.0402935679956461,212527,18972,193555,17001,0.07999454186997416,0.3806246691371096,0.3410815939278937,0.3597698273705279,183025,10530,12501,6471,272881,60973,211908,73904,0.2708286762361615,0.6481245940679801,0.7855772227051318,0.7102619423623003,185903,26005,13074,47899,212527,18972,193555,3387,0.01593679861852847,0.626513138470623,0.11184904069154543,0.18981170893152646,192290,1265,16850,2122,272881,60973,211908,44326,0.16243710628442434,0.8594955556558228,0.6248339428927558,0.7236156088851746,205680,6228,22875,38098,0.1699581184390014,0.22923255323634828,-0.24588846933351338
3,2023,2021,2022,2,462418,28642,0.17032091148893422,0.3405874296149749,0.3302292028724137,0.35161650722714893,0.06595115242053726,222378,17355,205023,20153,0.09062497189470181,0.31647893613854017,0.3675021607605877,0.340087448011091,191248,13775,10977,6378,272881,52094,220787,68259,0.25014200329081177,0.5963462693564219,0.7813951702691289,0.6764434621488455,193234,27553,11388,40706,222378,17355,205023,3272,0.01471368570631987,0.5446210268948656,0.10267934312878133,0.1727832452610656,203533,1490,15573,1782,272881,52094,220787,37444,0.1372173218362583,0.8444610618523662,0.6069796905593734,0.7062923004757756,214963,5824,20474,31620,0.1673042027500254,0.2648228176318064,-0.2281420907563254
3,2024,2021,2023,3,684796,45997,0.167689899872335,0.34046947204841943,0.321354820032809,0.36200186968715353,0.07566486953778935,177938,20706,157232,25951,0.14584293405568233,0.3333590227736889,0.4178016033999807,0.37083395846282446,139932,17300,12055,8651,272881,94311,178570,119000,0.43608752533155476,0.6886722689075631,0.8689548408987287,0.7683804398272944,141522,37048,12359,81952,177938,20706,157232,4033,0.02266519799031123,0.5821968757748575,0.11339708297111949,0.18982173895468696,155547,1685,18358,2348,272881,94311,178570,77561,0.28423012228773714,0.8876497208648676,0.7299996819034895,0.8011427108545894,169856,8714,25464,68847,0.1810122195081375,0.3044045204288612,-0.24883785300116856
4,2022,2021,2021,1,245070,11811,0.1673523119567841,0.2557467309015829,0.21543277871180938,0.3146219625772585,0.07038397192638837,207946,23294,184652,28506,0.13708366595173746,0.310496035922262,0.3799690907529836,0.3417374517374518,164997,19655,14443,8851,267312,60200,207112,86852,0.32490872089543305,0.5246971860175932,0.7569933554817275,0.6197943584582325,165831,41281,14629,45571,207946,23294,184652,2509,0.012065632423802333,0.6062176165803109,0.06529578432214304,0.11789326822462505,183664,988,21773,1521,267312,60200,207112,38978,0.14581462859879094,0.7722561444917646,0.5000166112956811,0.6070096190687452,198235,8877,30099,30101,0.22384418351282676,0.3146733064308405,-0.29572158065804893
