ano_epidemiologico,regiao,municipios_elegiveis,municipios_com_risco,semanas_municipais_elegiveis,semanas_municipais_em_risco,proporcao_municipios_com_risco,proporcao_semanas_municipais_em_risco,episodios_iniciados,duracao_mediana_episodios_iniciados,duracao_media_episodios_iniciados,duracao_maxima_episodios_iniciados
2018,Norte,450,251,23400,2363,0.5577777777777778,0.10098290598290598,448,4.0,5.850446428571429,60
2018,Nordeste,1793,929,93236,9433,0.5181260457334077,0.10117336651078983,1578,4.0,6.414448669201521,74
2018,Centro-Oeste,467,330,24284,4793,0.7066381156316917,0.19737275572393345,716,4.0,7.56145251396648,66
2018,Sudeste,1668,911,86736,7086,0.5461630695443646,0.0816961815163254,1495,4.0,6.305685618729097,94
2018,Sul,1191,219,61932,1080,0.18387909319899245,0.017438480914551444,293,4.0,3.7679180887372015,19
2019,Norte,450,294,23400,3302,0.6533333333333333,0.1411111111111111,560,4.0,5.998214285714286,37
2019,Nordeste,1793,1415,93236,22652,0.7891801450083659,0.24295336565275216,2623,4.0,8.706443004193671,74
2019,Centro-Oeste,467,418,24284,7322,0.8950749464668094,0.30151540108713554,859,4.0,8.651920838183935,66
2019,Sudeste,1668,1535,86736,29708,0.920263788968825,0.3425106068990961,2999,5.0,9.782594198066022,68
2019,Sul,1191,567,61932,6742,0.4760705289672544,0.10886133178324614,993,4.0,8.910372608257804,86
2020,Norte,450,227,23850,2476,0.5044444444444445,0.10381551362683439,384,4.0,6.2578125,59
2020,Nordeste,1793,1059,95029,12077,0.5906302286670385,0.12708752065159057,1780,4.0,6.426404494382022,46
2020,Centro-Oeste,467,358,24751,5311,0.7665952890792291,0.2145771888004525,667,4.0,7.116941529235382,59
2020,Sudeste,1668,1055,88404,11679,0.632494004796163,0.1321094068141713,1735,4.0,5.808645533141211,76
2020,Sul,1191,629,63123,10269,0.5281276238455079,0.1626823820160639,1067,4.0,7.706654170571697,50
2021,Norte,450,285,23400,3071,0.6333333333333333,0.13123931623931623,472,4.0,7.603813559322034,66
2021,Nordeste,1793,889,93236,9130,0.49581706636921363,0.09792354884379424,1435,4.0,6.917073170731707,58
2021,Centro-Oeste,467,326,24284,4192,0.6980728051391863,0.17262394992587712,624,4.0,8.842948717948717,49
2021,Sudeste,1668,677,86736,5782,0.4058752997601918,0.0666620549714075,1073,4.0,5.788443616029823,57
2021,Sul,1191,430,61932,3073,0.3610411418975651,0.049618936898533875,612,4.0,5.102941176470588,41
2022,Norte,450,323,23400,5094,0.7177777777777777,0.21769230769230768,639,4.0,7.50547730829421,59
2022,Nordeste,1793,1392,93236,18891,0.7763524818739542,0.2026148697927839,2618,4.0,7.09816653934301,57
2022,Centro-Oeste,467,429,24284,8295,0.9186295503211992,0.3415829352660188,895,5.0,7.957541899441341,57
2022,Sudeste,1668,1244,86736,17234,0.7458033573141487,0.19869489024165282,2406,4.0,7.86616791354946,80
2022,Sul,1191,925,61932,13555,0.7766582703610412,0.21886908221920817,1660,5.0,8.407228915662651,110
2023,Norte,450,307,23400,3554,0.6822222222222222,0.15188034188034188,569,4.0,6.3321616871704745,85
2023,Nordeste,1793,1004,93236,8817,0.5599553820412716,0.09456647646831697,1631,4.0,5.494175352544452,70
2023,Centro-Oeste,467,339,24284,4104,0.7259100642398287,0.16900016471750948,628,4.0,7.030254777070064,51
2023,Sudeste,1668,1460,86736,25771,0.8752997601918465,0.2971199963106438,3102,5.0,11.194068343004513,100
2023,Sul,1191,868,61932,11859,0.7287993282955499,0.19148420848672737,1708,4.0,8.902224824355972,107
2024,Norte,450,331,23400,4996,0.7355555555555555,0.2135042735042735,637,4.0,7.4929356357927785,74
2024,Nordeste,1793,1409,93236,18163,0.7858337981037368,0.19480672701531598,2794,4.0,6.383679312813171,52
2024,Centro-Oeste,467,383,24284,7004,0.8201284796573876,0.28842035908417063,820,5.0,8.4,60
2024,Sudeste,1668,1613,86736,43424,0.9670263788968825,0.5006456373362849,2997,6.0,11.73073073073073,79
2024,Sul,1191,1132,61932,24973,0.9504617968094039,0.40323257766582704,2211,5.0,9.806422433288105,64
2025,Norte,450,296,23850,3426,0.6577777777777778,0.14364779874213837,603,4.0,5.203980099502488,42
2025,Nordeste,1793,1070,95029,9601,0.5967651979921919,0.10103231645076766,1908,4.0,4.748427672955975,36
2025,Centro-Oeste,467,328,24751,4040,0.702355460385439,0.1632257282534039,618,4.0,5.703883495145631,48
2025,Sudeste,1668,1218,88404,13545,0.7302158273381295,0.1532170490023076,2055,4.0,5.045255474452555,45
2025,Sul,1191,762,63123,6791,0.6397984886649875,0.10758360660931832,1357,4.0,4.56963890935888,33
