codigo_ibge_7,nome_municipio_ibge,codigo_uf_ibge,nome_uf_ibge,regiao,observacoes_elegiveis,anos_elegiveis,semanas_risco,proporcao_semanas_risco,anos_com_risco,primeira_semana_risco,ultima_semana_risco,episodios,duracao_media_episodio,duracao_mediana_episodio,duracao_maxima_episodio,episodios_multianuais,recorrencia_multianual
1100015,Alta Floresta D'Oeste,11,Rondônia,Norte,418,8,89,0.21291866028708134,5,2018-06-17,2024-04-28,6,14.833333333333334,10.0,31.0,1,True
1100023,Ariquemes,11,Rondônia,Norte,418,8,107,0.25598086124401914,5,2019-11-17,2023-09-17,7,15.285714285714286,6.0,59.0,1,True
1100031,Cabixi,11,Rondônia,Norte,418,8,63,0.1507177033492823,5,2018-11-18,2025-09-21,5,12.6,6.0,37.0,0,True
1100049,Cacoal,11,Rondônia,Norte,418,8,119,0.284688995215311,6,2018-06-10,2025-10-05,15,7.933333333333334,3.0,55.0,1,True
1100056,Cerejeiras,11,Rondônia,Norte,418,8,66,0.15789473684210525,6,2018-06-24,2025-10-19,14,4.714285714285714,4.0,9.0,0,True
1100064,Colorado do Oeste,11,Rondônia,Norte,418,8,86,0.20574162679425836,8,2018-07-29,2025-09-21,18,4.777777777777778,4.0,14.0,0,True
1100072,Corumbiara,11,Rondônia,Norte,418,8,93,0.22248803827751196,6,2018-11-18,2025-12-28,16,5.8125,3.5,17.0,0,True
1100080,Costa Marques,11,Rondônia,Norte,418,8,85,0.20334928229665072,7,2019-09-01,2025-08-31,12,7.083333333333333,7.0,15.0,0,True
1100098,Espigão D'Oeste,11,Rondônia,Norte,418,8,62,0.14832535885167464,6,2018-10-14,2025-11-16,10,6.2,4.0,17.0,0,True
1100106,Guajará-Mirim,11,Rondônia,Norte,418,8,21,0.050239234449760764,4,2020-08-23,2023-02-19,5,4.2,3.0,10.0,1,True
1100114,Jaru,11,Rondônia,Norte,418,8,75,0.17942583732057416,4,2020-05-10,2025-08-24,5,15.0,4.0,55.0,1,True
1100122,Ji-Paraná,11,Rondônia,Norte,418,8,91,0.21770334928229665,5,2018-08-26,2025-11-16,11,8.272727272727273,6.0,45.0,1,True
1100130,Machadinho D'Oeste,11,Rondônia,Norte,418,8,39,0.09330143540669857,4,2020-06-28,2024-03-03,6,6.5,4.0,19.0,0,True
1100148,Nova Brasilândia D'Oeste,11,Rondônia,Norte,418,8,88,0.21052631578947367,6,2019-07-28,2024-03-24,7,12.571428571428571,3.0,41.0,0,True
1100155,Ouro Preto do Oeste,11,Rondônia,Norte,418,8,30,0.07177033492822966,3,2022-04-17,2025-11-02,11,2.727272727272727,3.0,6.0,0,True
1100189,Pimenta Bueno,11,Rondônia,Norte,418,8,64,0.15311004784688995,4,2019-08-18,2023-05-07,5,12.8,3.0,54.0,1,True
1100205,Porto Velho,11,Rondônia,Norte,418,8,56,0.1339712918660287,3,2019-12-08,2023-11-12,5,11.2,6.0,37.0,0,True
1100254,Presidente Médici,11,Rondônia,Norte,418,8,77,0.18421052631578946,6,2019-07-07,2024-12-01,10,7.7,5.0,32.0,1,True
1100262,Rio Crespo,11,Rondônia,Norte,418,8,60,0.14354066985645933,6,2018-08-26,2024-04-07,15,4.0,4.0,12.0,1,True
