codigo_ibge_7,nome_municipio_ibge,codigo_uf_ibge,nome_uf_ibge,regiao,anos_disponiveis,anos_com_casos,casos_periodo,populacao_media,incidencia_media_anual_100mil,incidencia_mediana_anual_100mil,incidencia_maxima_anual_100mil,ano_maior_incidencia,incidencia_ano_pico_100mil,participacao_casos_periodo
1100015,Alta Floresta D'Oeste,11,Rondônia,Norte,10,10,1878,23092.7,821.5335134439931,646.017932774173,1963.3386061226388,2023,1963.3386061226388,0.00011525069204112965
1100023,Ariquemes,11,Rondônia,Norte,10,10,1999,105935.2,200.71918163169562,61.45798281727969,1145.27072382349,2022,1145.27072382349,0.0001226763223590086
1100031,Cabixi,11,Rondônia,Norte,10,10,295,5557.4,533.076882066003,308.3638656380011,1788.4036144578313,2019,1788.4036144578313,1.810380945268011e-05
1100049,Cacoal,11,Rondônia,Norte,10,10,3302,88855.6,376.7211546226003,134.09489023764107,2380.102892262364,2022,2380.102892262364,0.00020263992817881263
1100056,Cerejeiras,11,Rondônia,Norte,10,10,1052,16667.3,613.4970269365847,341.77894036361727,1792.972882677209,2016,1792.972882677209,6.456002557362534e-05
1100064,Colorado do Oeste,11,Rondônia,Norte,10,10,309,16439.4,188.51845915409518,106.84840405377254,450.33453422542465,2020,450.33453422542465,1.8962973291112387e-05
1100072,Corumbiara,11,Rondônia,Norte,10,9,261,7764.5,334.9645836667929,223.8330149647974,970.8737864077669,2023,970.8737864077669,1.6017268702201724e-05
1100080,Costa Marques,11,Rondônia,Norte,10,9,344,16095.6,238.10196381734755,162.95415218042416,931.8148202928561,2024,931.8148202928561,2.1110882887193075e-05
1100098,Espigão D'Oeste,11,Rondônia,Norte,10,10,1933,32025.4,614.8318294617115,430.1839299374943,1727.068742775549,2022,1727.068742775549,0.00011862597854925645
1100106,Guajará-Mirim,11,Rondônia,Norte,10,10,815,44586.3,183.8066948602895,131.23533929379255,605.7643257949328,2016,605.7643257949328,5.001560916587895e-05
1100114,Jaru,11,Rondônia,Norte,10,10,2671,53092.1,518.0195380956021,224.4273323413264,2628.9260935739558,2022,2628.9260935739558,0.00016391618660375787
1100122,Ji-Paraná,11,Rondônia,Norte,10,10,3111,131026.4,240.25033264015823,94.41494385902911,693.9799331103679,2016,693.9799331103679,0.00019091847866877228
1100130,Machadinho D'Oeste,11,Rondônia,Norte,10,10,1106,36781.3,313.62136444379905,165.77154181551705,1332.4889838782026,2016,1332.4889838782026,6.787394323614984e-05
