ano_epidemiologico,regiao,casos_provaveis,populacao_regional,unidades_territoriais,unidades_territoriais_com_casos,incidencia_anual_100mil,proporcao_unidades_com_casos,participacao_casos_nacional_ano
2016,Norte,37982,17707783,450,415,214.49325418094406,0.9222222222222223,0.025546156541671066
2016,Nordeste,317914,56915936,1794,1628,558.5676391230744,0.907469342251951,0.21382446450394438
2016,Centro-Oeste,212097,15660988,467,456,1354.3015293798833,0.9764453961456103,0.14265344542201064
2016,Sudeste,848650,86356952,1668,1611,982.723429145577,0.9658273381294964,0.5707899991861711
2016,Sul,70156,29439773,1191,741,238.30346789698413,0.6221662468513854,0.047185934346202815
2017,Norte,21826,17936201,450,407,121.68686111401182,0.9044444444444445,0.09036633433804776
2017,Nordeste,84196,57254159,1794,1316,147.0565657946351,0.7335562987736901,0.34859726408532343
2017,Centro-Oeste,79726,15875907,467,430,502.1823320078658,0.9207708779443254,0.3300900930740949
2017,Sudeste,53231,86949714,1668,1252,61.2204428872532,0.750599520383693,0.2203926666887483
2017,Sul,2549,29644948,1191,356,8.598429654860587,0.2989084802686818,0.010553641813785566
2018,Norte,17841,18182253,450,369,98.1231533847868,0.82,0.06662932048624727
2018,Nordeste,66220,56760780,1794,1235,116.6650634469787,0.6884057971014492,0.24730640673725096
2018,Centro-Oeste,107272,16085885,467,432,666.8703649193067,0.9250535331905781,0.400619946594962
2018,Sudeste,74679,87711946,1668,1278,85.1411961604409,0.7661870503597122,0.2788975407540194
2018,Sul,1753,29754036,1191,335,5.891637692446161,0.28127623845507976,0.0065467854275204004
2019,Norte,36075,18430980,450,389,195.7302324672915,0.8644444444444445,0.023253640330804386
2019,Nordeste,213493,57071654,1794,1622,374.07887284990903,0.9041248606465998,0.1376157847579881
2019,Centro-Oeste,235466,16297074,467,457,1444.8360484833045,0.9785867237687366,0.1517793949863669
2019,Sudeste,1016968,88371433,1668,1600,1150.7881738208318,0.9592326139088729,0.6555289840592509
2019,Sul,49368,29975984,1191,610,164.69184130869567,0.5121746431570109,0.03182219586558977
2020,Norte,23577,18672591,450,368,126.26528369844335,0.8177777777777778,0.024856409088608877
2020,Nordeste,149594,57374243,1794,1462,260.7337233190162,0.8149386845039019,0.1577117386097195
2020,Centro-Oeste,196946,16504303,467,456,1193.3009227957098,0.9764453961456103,0.20763330128367322
2020,Sudeste,299246,89012240,1668,1451,336.18522576220977,0.8699040767386091,0.3154846245972707
2020,Sul,279165,30192315,1191,656,924.622706142275,0.5507976490344249,0.2943139264207277
2021,Norte,40691,18906962,450,389,215.21701900072574,0.8644444444444445,0.07535649468498833
2021,Nordeste,130667,57667842,1794,1354,226.58555525625528,0.7547380156075808,0.24198488832919737
2021,Centro-Oeste,112384,16707336,467,452,672.6625956406216,0.9678800856531049,0.2081262268972925
2021,Sudeste,191773,89632912,1668,1316,213.95377626468274,0.7889688249400479,0.35514833882736396
2021,Sul,64465,30402587,1191,598,212.0378769083039,0.5020990764063812,0.11938405126115782
2022,Norte,50296,17354884,450,394,289.8089091232186,0.8755555555555555,0.03580043832332431
2022,Nordeste,243456,54656427,1794,1666,445.42977534920095,0.9286510590858417,0.17329074901469785
2022,Centro-Oeste,340365,16289538,467,464,2089.469940768118,0.9935760171306209,0.24227008489578256
2022,Sudeste,462085,84840113,1668,1532,544.6539186009807,0.9184652278177458,0.32890976504360814
2022,Sul,308697,29937706,1191,961,1031.1311093775855,0.8068849706129303,0.21972896272258718
2023,Norte,34814,17354884,450,402,200.60059174120667,0.8933333333333333,0.021151362195357563
2023,Nordeste,105249,54656427,1794,1538,192.56472802365948,0.8573021181716833,0.0639443821364735
2023,Centro-Oeste,185891,16289538,467,466,1141.168030670974,0.9978586723768736,0.11293869908247293
2023,Sudeste,930278,84840113,1668,1628,1096.5072618420488,0.9760191846522782,0.5651935118163051
2023,Sul,389714,29937706,1191,958,1301.7497065406415,0.8043660789252729,0.23677204476939098
2024,Norte,56906,18669345,450,435,304.8098366600435,0.9666666666666667,0.008668228306504263
2024,Nordeste,345533,57112096,1794,1762,605.0084381424208,0.9821627647714605,0.05263344693760478
2024,Centro-Oeste,674296,17071595,467,466,3949.812539484448,0.9978586723768736,0.10271239718417388
2024,Sudeste,4280698,88617693,1668,1668,4830.522952115217,1.0,0.6520589669840823
2024,Sul,1207461,31113021,1191,1154,3880.886398013231,0.9689336691855583,0.18392696058763477
2025,Norte,39234,18801282,450,420,208.6772593485912,0.9333333333333333,0.023876524156465052
2025,Nordeste,101044,57244485,1794,1632,176.5130737048294,0.9096989966555183,0.061492060632763794
2025,Centro-Oeste,165077,17238818,468,468,957.588855570028,1.0,0.10046044191713263
2025,Sudeste,1119608,88825643,1668,1657,1260.4558348088738,0.9934052757793765,0.681356666609867
2025,Sul,218241,31310809,1191,988,697.0148870953798,0.8295549958018472,0.13281430668377145
