ano_epidemiologico,codigo_uf_ibge,nome_uf_ibge,regiao,casos_provaveis,populacao_uf,unidades_territoriais,unidades_territoriais_com_casos,incidencia_anual_100mil,proporcao_unidades_com_casos,participacao_casos_nacional_ano
2016,11,Rondônia,Norte,7805,1787279,52,52,436.697348315512,1.0,0.005249532720966317
2016,12,Acre,Norte,2194,816687,22,20,268.646372478073,0.9090909090909091,0.0014756534003587574
2016,13,Amazonas,Norte,7506,4001667,62,49,187.57182944008085,0.7903225806451613,0.005048429545621163
2016,14,Roraima,Norte,212,514229,15,14,41.226768618650446,0.9333333333333333,0.00014258820459255085
2016,15,Pará,Norte,10752,8272724,144,139,129.9692821856501,0.9652777777777778,0.007231643281976918
2016,16,Amapá,Norte,1822,782295,16,15,232.90446698496092,0.9375,0.0012254514564510738
2016,17,Tocantins,Norte,7691,1532902,139,126,501.7280948162374,0.9064748201438849,0.005172857931704285
2016,21,Maranhão,Nordeste,23683,6954036,217,182,340.5648173233501,0.8387096774193549,0.0159288511762518
2016,22,Piauí,Nordeste,5192,3212180,224,146,161.63477762765473,0.6517857142857143,0.0034920658407760563
2016,23,Ceará,Nordeste,49568,8963663,184,178,552.9882147510455,0.967391304347826,0.03333873643982811
2016,24,Rio Grande do Norte,Nordeste,56656,3474998,167,165,1630.3894275622604,0.9880239520958084,0.03810602509148849
2016,25,Paraíba,Nordeste,35329,3999415,223,216,883.3541905503679,0.968609865470852,0.023761786226652024
2016,26,Pernambuco,Nordeste,59644,9410336,185,181,633.8137129216215,0.9783783783783784,0.0401157116731986
2016,27,Alagoas,Nordeste,18011,3358963,102,99,536.207156792141,0.9705882352941176,0.012113944117530345
2016,28,Sergipe,Nordeste,3386,2265779,75,72,149.44087662565502,0.96,0.002277375758256496
2016,29,Bahia,Nordeste,66445,15276566,417,389,434.94722570504393,0.9328537170263789,0.04468996817996246
2016,31,Minas Gerais,Sudeste,523240,20997560,853,817,2491.9085836640065,0.9577960140679953,0.35192383099531277
2016,32,Espírito Santo,Sudeste,41626,3973697,78,78,1047.5383503070314,1.0,0.027997059454573214
2016,33,Rio de Janeiro,Sudeste,85308,16635996,92,92,512.7916597238903,1.0,0.05737695545934588
2016,35,São Paulo,Sudeste,198476,44749699,645,624,443.52477097108516,0.9674418604651163,0.13349215327693925
2016,41,Paraná,Sul,61955,11242720,399,363,551.0677131512658,0.9097744360902256,0.04167005762043154
2016,42,Santa Catarina,Sul,5046,6910553,295,167,73.01875841195343,0.5661016949152542,0.003393868303650998
2016,43,Rio Grande do Sul,Sul,3155,11286500,497,211,27.95375005537589,0.4245472837022133,0.002122008422120273
2016,50,Mato Grosso do Sul,Centro-Oeste,45356,2682386,79,79,1690.8826693846447,1.0,0.030505804752357247
2016,51,Mato Grosso,Centro-Oeste,20091,3305531,141,136,607.7994730649932,0.9645390070921985,0.01351292272862707
2016,52,Goiás,Centro-Oeste,128925,6695855,246,240,1925.4449207756143,0.975609756097561,0.08671313338252178
2016,53,Distrito Federal,Centro-Oeste,17725,2977216,1,1,595.3548550054817,1.0,0.011921584558504545
2017,11,Rondônia,Norte,2121,1805788,52,52,117.45564817132465,1.0,0.00878159054022722
2017,12,Acre,Norte,1892,829619,22,21,228.05649340239316,0.9545454545454546,0.007833460302739226
2017,13,Amazonas,Norte,3909,4063614,62,43,96.19516026866725,0.6935483870967742,0.016184458944718625
2017,14,Roraima,Norte,286,522636,15,14,54.72259851981111,0.9333333333333333,0.001184127720181511
2017,15,Pará,Norte,7843,8366628,144,131,93.74146908408024,0.9097222222222222,0.03247242555728529
2017,16,Amapá,Norte,901,797722,16,15,112.94661548760094,0.9375,0.003730416349243152
2017,17,Tocantins,Norte,4874,1550194,139,131,314.4122606589885,0.9424460431654677,0.020179854923652745
2017,21,Maranhão,Nordeste,7157,7000229,217,137,102.23951245023557,0.631336405529954,0.029632175151535226
2017,22,Piauí,Nordeste,5264,3219257,224,130,163.5159914228656,0.5803571428571429,0.021794574542082078
2017,23,Ceará,Nordeste,39144,9020460,184,174,433.9468275453802,0.9456521739130435,0.162068166009738
2017,24,Rio Grande do Norte,Nordeste,7438,3507003,167,140,212.08992407477268,0.8383233532934131,0.03079560133814713
2017,25,Paraíba,Nordeste,3983,4025558,223,149,98.94280494778612,0.6681614349775785,0.016490841641548806
2017,26,Pernambuco,Nordeste,7869,9473266,185,163,83.06533353966837,0.8810810810810811,0.03258007353184724
2017,27,Alagoas,Nordeste,2926,3375823,102,81,86.6751603979237,0.7941176470588235,0.012114537444933921
2017,28,Sergipe,Nordeste,592,2288116,75,53,25.872814140541823,0.7066666666666667,0.0024510615746414495
2017,29,Bahia,Nordeste,9823,15344447,417,289,64.01664393640253,0.6930455635491607,0.04067023285084959
2017,31,Minas Gerais,Sudeste,26142,21119536,853,607,123.78112852479335,0.7116060961313013,0.10823589811533238
2017,32,Espírito Santo,Sudeste,6809,4016356,78,73,169.5317845330444,0.9358974358974359,0.02819134841509059
2017,33,Rio de Janeiro,Sudeste,10900,16718956,92,82,65.19545837670725,0.8913043478260869,0.0451293431817429
2017,35,São Paulo,Sudeste,9380,45094866,645,490,20.800594018840194,0.7596899224806202,0.03883607697658242
2017,41,Paraná,Sul,2190,11320892,399,207,19.344765412478097,0.518796992481203,0.009067271703487794
2017,42,Santa Catarina,Sul,179,7001161,295,60,2.556718807066428,0.2033898305084746,0.0007411149017919247
2017,43,Rio Grande do Sul,Sul,180,11322895,497,89,1.5896994540707126,0.1790744466800805,0.0007452552085058462
