codigo_ibge_7,nome_municipio_ibge,codigo_uf_ibge,nome_uf_ibge,regiao,numero_episodio,data_inicio,data_fim,ano_epidemiologico_inicio,semana_epidemiologica_inicio,ano_epidemiologico_fim,semana_epidemiologica_fim,duracao_semanas,casos_4s_maximos,incidencia_4s_maxima_100mil,incidencia_4s_media_100mil,margem_maxima_limiar_100mil,atravessa_ano_epidemiologico
1100015,Alta Floresta D'Oeste,11,Rondônia,Norte,1,2018-06-17,2018-07-01,2018,25,2018,27,3,1.0,4.316484654897052,4.316484654897052,0.3852034503524915,False
1100015,Alta Floresta D'Oeste,11,Rondônia,Norte,2,2019-05-26,2019-12-22,2019,22,2019,52,31,79.0,344.3015907605143,123.0150640732748,340.38094463803327,False
1100015,Alta Floresta D'Oeste,11,Rondônia,Norte,3,2022-04-24,2022-07-03,2022,17,2022,27,11,64.0,297.75751372476043,186.52139709178883,280.1128291101977,False
1100015,Alta Floresta D'Oeste,11,Rondônia,Norte,4,2022-08-21,2023-02-19,2022,34,2023,8,27,170.0,790.9183958313947,313.2657175645916,632.239704531306,True
1100015,Alta Floresta D'Oeste,11,Rondônia,Norte,5,2023-03-26,2023-05-14,2023,13,2023,20,8,32.0,148.87875686238021,120.96398995068391,71.49095915493704,False
1100015,Alta Floresta D'Oeste,11,Rondônia,Norte,6,2024-03-03,2024-04-28,2024,10,2024,18,9,99.0,433.20351813766246,257.6855944028744,244.27685869181397,False
1100023,Ariquemes,11,Rondônia,Norte,1,2019-11-17,2019-12-22,2019,47,2019,52,6,19.0,17.61493746697199,12.206842630620942,12.893323808287999,False
1100023,Ariquemes,11,Rondônia,Norte,2,2020-01-12,2020-03-15,2020,3,2020,12,10,41.0,37.43505930261224,25.01757621686769,26.16437198419346,False
1100023,Ariquemes,11,Rondônia,Norte,3,2020-03-29,2020-08-02,2020,14,2020,32,19,22.0,20.08710499164559,13.79186395359398,12.634498908455875,False
1100023,Ariquemes,11,Rondônia,Norte,4,2021-08-08,2021-08-22,2021,32,2021,34,3,7.0,6.297909094180731,5.3982077950120555,1.1477767565685681,False
1100023,Ariquemes,11,Rondônia,Norte,5,2021-11-28,2021-12-19,2021,48,2021,51,4,13.0,11.696116889192787,11.021340914816282,2.7887798969876822,False
1100023,Ariquemes,11,Rondônia,Norte,6,2022-01-09,2023-02-19,2022,2,2023,8,59,268.0,276.76515237573966,86.95732842162123,262.15634874545196,True
1100023,Ariquemes,11,Rondônia,Norte,7,2023-08-13,2023-09-17,2023,33,2023,38,6,33.0,34.07929115074406,24.957056650797423,17.762539630084778,False
1100031,Cabixi,11,Rondônia,Norte,1,2018-11-18,2018-11-25,2018,47,2018,48,2,1.0,18.389113644722325,18.389113644722325,18.389113644722325,False
1100031,Cabixi,11,Rondônia,Norte,2,2019-04-14,2019-12-22,2019,16,2019,52,37,23.0,432.98192771084337,185.20026050146532,414.59281406612104,False
1100031,Cabixi,11,Rondônia,Norte,3,2022-03-13,2022-04-17,2022,11,2022,16,6,16.0,299.00953092879837,230.48651342428207,249.83629557091433,False
1100031,Cabixi,11,Rondônia,Norte,4,2023-01-15,2023-04-02,2023,3,2023,14,12,28.0,523.2666791253971,373.7619136609979,348.32066703991325,False
1100031,Cabixi,11,Rondônia,Norte,5,2025-08-17,2025-09-21,2025,34,2025,39,6,4.0,70.62146892655367,41.195856873822976,51.79616772173439,False
1100049,Cacoal,11,Rondônia,Norte,1,2018-06-10,2018-08-19,2018,24,2018,34,11,5.0,5.89532265100869,3.1084428523500365,3.2780280232904007,False
1100049,Cacoal,11,Rondônia,Norte,2,2018-09-02,2018-11-11,2018,36,2018,46,11,4.0,4.716258120806952,2.8940674832224476,3.578303934842479,False
1100049,Cacoal,11,Rondônia,Norte,3,2019-12-29,2019-12-29,2020,1,2020,1,1,4.0,4.656956911506176,4.656956911506176,0.10514016764828416,False
1100049,Cacoal,11,Rondônia,Norte,4,2020-05-03,2020-08-16,2020,19,2020,34,16,16.0,18.627827646024706,10.769212857858033,12.77021450622691,False
1100049,Cacoal,11,Rondônia,Norte,5,2020-11-22,2020-12-27,2020,48,2020,53,6,20.0,23.28478455753088,14.5529903484568,18.96633774609574,False
1100049,Cacoal,11,Rondônia,Norte,6,2021-03-28,2021-04-11,2021,13,2021,15,3,24.0,27.77263469727828,25.45824847250509,6.60668683833908,False
1100049,Cacoal,11,Rondônia,Norte,7,2021-04-25,2021-04-25,2021,17,2021,17,1,17.0,19.672282910572118,19.672282910572118,1.2126795327846658,False
1100049,Cacoal,11,Rondônia,Norte,8,2021-07-25,2021-08-01,2021,30,2021,31,2,5.0,5.785965561932976,5.785965561932976,1.0934279248463339,False
