dimensao,grupo,horizonte,subconjunto,threshold,observacoes,municipios,positivos,negativos,prevalencia,average_precision,roc_auc,brier_score,precision,recall,f1,balanced_accuracy,alertas,proporcao_alertas,tn,fp,fn,tp
porte_populacional,Grande,1,geral,0.187687,15080,290,2279,12801,0.15112732095490716,0.9538833758757007,0.9896678418093364,0.02664714719420678,0.7554233729881036,0.9473453268977622,0.8405684251508662,0.9463701089609504,2858,0.18952254641909813,12102,699,120,2159
porte_populacional,Grande,1,early_warning,0.187687,12784,290,309,12475,0.02417083854818523,0.3808633634536292,0.9592419791038388,0.018065983018615023,0.3276157804459691,0.6181229773462783,0.4282511210762332,0.7933500658274477,583,0.04560387984981226,12083,392,118,191
porte_populacional,Muito grande,1,geral,0.187687,2496,48,380,2116,0.15224358974358973,0.9782282176842569,0.9951335687991244,0.017663221494100923,0.8004291845493562,0.9815789473684211,0.8817966903073285,0.9688140483533977,466,0.18669871794871795,2023,93,7,373
porte_populacional,Muito grande,1,early_warning,0.187687,2111,47,29,2082,0.013737565135007106,0.35156909139811804,0.9654841167312598,0.01097150510994194,0.2682926829268293,0.7586206896551724,0.3963963963963964,0.864901122925569,82,0.038844149692089054,2022,60,7,22
porte_populacional,Muito pequeno,1,geral,0.187687,198484,3817,23740,174744,0.11960661816569597,0.9131382502521446,0.9717560385169635,0.02617605584469467,0.7448566969353008,0.8845408593091828,0.8087113918200725,0.9216888932356013,28192,0.14203663771387115,167551,7193,2741,20999
porte_populacional,Muito pequeno,1,early_warning,0.187687,174661,3817,4313,170348,0.02469354921819983,0.24096615749019612,0.8682647299252624,0.02114855036684549,0.26564885496183205,0.40343148620449804,0.3203534935100801,0.687597584978878,6550,0.03750121664252466,165538,4810,2573,1740
porte_populacional,Médio,1,geral,0.187687,17888,344,2697,15191,0.15077146690518783,0.9497750002612879,0.9873638663604826,0.02745488430489113,0.7359206302888824,0.9351130886169818,0.8236446766819073,0.9377691702054036,3427,0.1915809481216458,14286,905,175,2522
porte_populacional,Médio,1,early_warning,0.187687,15168,344,390,14778,0.025712025316455698,0.327363090637699,0.9451329245482717,0.020071301427679163,0.2872200263504611,0.558974358974359,0.3794604003481288,0.7611829434606536,759,0.05003955696202532,14237,541,172,218
porte_populacional,Pequeno,1,geral,0.187687,55640,1070,7486,48154,0.13454349388928827,0.9267430722881455,0.9799451021591594,0.029020128558459937,0.7117296222664016,0.9086294416243654,0.798216276477146,0.9257085821736479,9557,0.17176491732566498,45399,2755,684,6802
porte_populacional,Pequeno,1,early_warning,0.187687,48143,1069,1345,46798,0.027937602559042853,0.28799197200988913,0.9165110636857197,0.022726541193942955,0.27858880778588807,0.5107806691449814,0.36053529257412753,0.7363831120416133,2466,0.05122239993353135,45019,1779,658,687
porte_populacional,Grande,2,geral,0.190783,14790,290,2225,12565,0.1504394861392833,0.8885651577962144,0.9733560586076002,0.043593073168884125,0.6198723792160438,0.9168539325842696,0.7396664249456127,0.908645828210161,3291,0.22251521298174443,11314,1251,185,2040
porte_populacional,Grande,2,early_warning,0.190783,12542,290,500,12042,0.03986605007175889,0.3458479679634641,0.9344155455904335,0.03044437354621076,0.29681647940074907,0.634,0.40433673469387754,0.7858174721807009,1068,0.08515388295327699,11291,751,183,317
porte_populacional,Muito grande,2,geral,0.190783,2448,48,366,2082,0.14950980392156862,0.936744329599657,0.9856655800696051,0.030794922128083005,0.6704761904761904,0.9617486338797814,0.7901234567901235,0.9393277271224074,525,0.21446078431372548,1909,173,14,352
porte_populacional,Muito grande,2,early_warning,0.190783,2073,47,47,2026,0.022672455378678243,0.3047702193816712,0.9375984541387495,0.01942811680080416,0.22,0.7021276595744681,0.3350253807106599,0.8221891999747957,150,0.0723589001447178,1909,117,14,33
porte_populacional,Muito pequeno,2,geral,0.190783,194667,3817,23177,171490,0.11905972763745268,0.8041425360807078,0.9313117790397734,0.04539294206227808,0.6215110683349374,0.7801268498942917,0.6918441141020489,0.8579595121825532,29092,0.14944494958056578,160479,11011,5096,18081
porte_populacional,Muito pequeno,2,early_warning,0.190783,171291,3817,7288,164003,0.042547477684174884,0.24965842117819043,0.8204176589886347,0.03628893346500182,0.29059923034634416,0.3626509330406147,0.3226515290239883,0.6616550946368662,9095,0.0530967768300728,157551,6452,4645,2643
porte_populacional,Médio,2,geral,0.190783,17544,344,2633,14911,0.15007979936160512,0.875267073349342,0.9665332574745364,0.04599662643741915,0.623875066172578,0.8951766046334979,0.7352987053501793,0.8999389159576852,3778,0.21534427724578203,13490,1421,276,2357
porte_populacional,Médio,2,early_warning,0.190783,14876,344,623,14253,0.04187953751008336,0.3047099180216378,0.9120383993952893,0.03312247807429839,0.2980688497061293,0.5698234349919743,0.39140022050716644,0.7555845583014316,1191,0.08006184458187685,13417,836,268,355
porte_populacional,Pequeno,2,geral,0.190783,54570,1070,7336,47234,0.13443283855598315,0.8321070943054703,0.9494551007192248,0.04850630975627768,0.5951015647779182,0.8346510359869138,0.6948085106382978,0.8732259287145476,10289,0.18854682059739783,43068,4166,1213,6123
porte_populacional,Pequeno,2,early_warning,0.190783,47224,1069,2216,45008,0.04692529222429273,0.30406508123571513,0.877890716540084,0.03775929680235382,0.30092204526404026,0.48601083032490977,0.37169974115616916,0.715210356506216,3579,0.07578773504997459,42506,2502,1139,1077
porte_populacional,Grande,3,geral,0.167991,14500,290,2173,12327,0.14986206896551724,0.8140899655119757,0.9510487363238842,0.05846836226577843,0.5213628988642509,0.8872526461113668,0.6567876000681314,0.8718326993029455,3698,0.2550344827586207,10557,1770,245,1928
porte_populacional,Grande,3,early_warning,0.167991,12311,290,649,11662,0.05271708228413614,0.313354443810342,0.9021755301284061,0.041795309389830615,0.2668428005284016,0.6224961479198767,0.37355524734165513,0.7636576092026068,1514,0.12297944927300788,10552,1110,245,404
porte_populacional,Muito grande,3,geral,0.167991,2400,48,354,2046,0.1475,0.8970692265423665,0.9763711472295398,0.039345720890228045,0.6028622540250447,0.9519774011299436,0.7382256297918948,0.921736501151482,559,0.23291666666666666,1824,222,17,337
