dimensao,grupo,horizonte,subconjunto,threshold,observacoes,municipios,positivos,negativos,prevalencia,average_precision,roc_auc,brier_score,precision,recall,f1,balanced_accuracy,alertas,proporcao_alertas,tn,fp,fn,tp
regiao,Centro-Oeste,1,geral,0.187687,24284,467,3983,20301,0.16401746005600396,0.9510306480413149,0.9850192711665334,0.028879891654255935,0.7462477486491895,0.9362289731358273,0.8305122494432071,0.9368844978974048,4997,0.20577334870696756,19033,1268,254,3729
regiao,Centro-Oeste,1,early_warning,0.187687,20282,467,609,19673,0.030026624593235383,0.3822585111909315,0.9329410241688053,0.02254629254024971,0.3149078726968174,0.6174055829228243,0.4170826400443705,0.7879128763493296,1194,0.058869933931564936,18855,818,233,376
regiao,Nordeste,1,geral,0.187687,93236,1793,9453,83783,0.10138787592775322,0.903648244238332,0.9730417093987944,0.023769524800651712,0.722339119761529,0.8715751613244472,0.7899707560285728,0.9168875651459494,11406,0.12233472049422969,80616,3167,1214,8239
regiao,Nordeste,1,early_warning,0.187687,83834,1793,1868,81966,0.022282128969153325,0.22954656178828256,0.8838955219642176,0.019194932554992397,0.2525217391304348,0.3886509635974304,0.30613535736875397,0.6812163877841237,2875,0.03429396187704273,79817,2149,1142,726
regiao,Norte,1,geral,0.187687,23400,450,3378,20022,0.14435897435897435,0.9293866879602976,0.975780482499446,0.028843358720993327,0.7348557692307692,0.9049733570159858,0.8110904749270365,0.924941977678905,4160,0.17777777777777778,18919,1103,321,3057
regiao,Norte,1,early_warning,0.187687,20031,450,588,19443,0.029354500524187508,0.2872100980179823,0.8862985944261982,0.0241311607325111,0.2714007782101167,0.4744897959183674,0.3452970297029703,0.7179834671100349,1028,0.051320453297389046,18694,749,309,279
regiao,Sudeste,1,geral,0.187687,86736,1668,13129,73607,0.15136736764434605,0.9379106311114138,0.9818505302221776,0.02946659583430437,0.7429499754781755,0.9230710640566684,0.8232736659760198,0.933053186599231,16312,0.18806493266924923,69414,4193,1010,12119
regiao,Sudeste,1,early_warning,0.187687,73397,1667,1995,71402,0.027180947450168264,0.2876062045667758,0.9146281434237395,0.022181718086977307,0.28411572052401746,0.5218045112781955,0.3679095246509984,0.7425344228052836,3664,0.04992029646988296,68779,2623,954,1041
regiao,Sul,1,geral,0.187687,61932,1191,6639,55293,0.10719821739972873,0.8927788206980843,0.9635794308411267,0.025818698227958268,0.7489836065573771,0.8602199126374453,0.8007571508693213,0.9128021596717693,7625,0.1231189046050507,53379,1914,928,5711
regiao,Sul,1,early_warning,0.187687,55323,1190,1326,53997,0.023968331435388537,0.1989481215797076,0.8389063344142549,0.021123112961992565,0.2596783799880881,0.3288084464555053,0.2901830282861897,0.6528943245296768,1679,0.030349041085985937,52754,1243,890,436
regiao,Centro-Oeste,2,geral,0.190783,23817,467,3913,19904,0.1642944115547718,0.8733736965371195,0.9569692767040034,0.05126821908725389,0.6128227960819235,0.8793764375159724,0.7222921914357683,0.8850760804943205,5615,0.23575597262459588,17730,2174,472,3441
