ano_epidemiologico,semanas_epidemiologicas,casos_provaveis,populacao_nacional,incidencia_anual_100mil,media_semanal_casos,pico_semanal_casos,semana_pico,data_inicio_semana_pico,unidades_territoriais,unidades_territoriais_com_casos,proporcao_unidades_com_casos,participacao_casos_periodo
2016,52,1486799,206081432,721.4618927919716,28592.28846153846,104500,8,2016-02-21,5570,4851,0.8709156193895871,0.09124313827266214
2017,52,241528,207660929,116.30883149906356,4644.7692307692305,9708,16,2017-04-16,5570,3761,0.6752244165170557,0.014822294540633631
2018,52,267765,208494900,128.42760182623172,5149.326923076923,11791,15,2018-04-08,5570,3649,0.655116696588869,0.01643242894270132
2019,52,1551370,210147125,738.2304183319186,29834.03846153846,103636,19,2019-05-05,5570,4678,0.8398563734290844,0.09520578600204861
2020,53,948528,211755692,447.93506660496286,17896.754716981133,58859,10,2020-03-01,5570,4393,0.788689407540395,0.05821006838146359
2021,52,539980,213317639,253.13424737463927,10384.23076923077,27113,14,2021-04-04,5570,4109,0.73770197486535,0.0331379492483329
2022,52,1404899,203078668,691.8003815152067,27017.28846153846,103823,18,2022-05-01,5570,5017,0.9007181328545781,0.08621702981783333
2023,52,1645946,203078668,810.4967479893062,31652.80769230769,110655,15,2023-04-09,5570,4992,0.896229802513465,0.10100980594373225
2024,52,6564894,212583750,3088.1447899945315,126247.96153846153,433511,12,2024-03-17,5570,5485,0.9847396768402155,0.40287996628150147
2025,53,1643204,213421037,769.9353461580266,31003.849056603773,90182,12,2025-03-16,5571,5165,0.9271225991742954,0.10084153256909073
