ano_epidemiologico,semana_epidemiologica,data_inicio_semana,data_fim_semana,casos_provaveis,unidades_territoriais,unidades_territoriais_com_casos,populacao_nacional,incidencia_nacional_100mil,proporcao_unidades_com_casos
2016,1,2016-01-03,2016-01-09,42676,5570,1975,206081432,20.708318835827967,0.35457809694793535
2016,2,2016-01-10,2016-01-16,48755,5570,2090,206081432,23.658123648907875,0.3752244165170557
2016,3,2016-01-17,2016-01-23,55657,5570,2204,206081432,27.00728515900452,0.3956912028725314
2016,4,2016-01-24,2016-01-30,62278,5570,2355,206081432,30.220092802926565,0.4228007181328546
2016,5,2016-01-31,2016-02-06,70986,5570,2513,206081432,34.44560691911341,0.45116696588868943
2016,6,2016-02-07,2016-02-13,84258,5570,2733,206081432,40.88577955921813,0.49066427289048475
2016,7,2016-02-14,2016-02-20,103891,5570,2911,206081432,50.41259612365271,0.5226211849192101
2016,8,2016-02-21,2016-02-27,104500,5570,2914,206081432,50.70811037454359,0.5231597845601437
2016,9,2016-02-28,2016-03-05,101243,5570,2968,206081432,49.12766716411404,0.5328545780969479
2016,10,2016-03-06,2016-03-12,95218,5570,2907,206081432,46.20406558510327,0.521903052064632
2016,11,2016-03-13,2016-03-19,88171,5570,2809,206081432,42.784543539080225,0.5043087971274686
2016,12,2016-03-20,2016-03-26,78629,5570,2712,206081432,38.15433503004773,0.48689407540394974
2016,13,2016-03-27,2016-04-02,81865,5570,2757,206081432,39.724588093894845,0.4949730700179533
2016,14,2016-04-03,2016-04-09,79462,5570,2713,206081432,38.55854417781802,0.48707360861759424
2016,15,2016-04-10,2016-04-16,70993,5570,2555,206081432,34.449003634640896,0.45870736086175945
2016,16,2016-04-17,2016-04-23,58667,5570,2340,206081432,28.467872835821524,0.42010771992818674
2016,17,2016-04-24,2016-04-30,49314,5570,2134,206081432,23.92937564603103,0.3831238779174147
2016,18,2016-05-01,2016-05-07,36734,5570,1975,206081432,17.82499259807162,0.35457809694793535
2016,19,2016-05-08,2016-05-14,26811,5570,1750,206081432,13.009905715329076,0.3141831238779174
2016,20,2016-05-15,2016-05-21,21174,5570,1576,206081432,10.274579225555847,0.2829443447037702
2016,21,2016-05-22,2016-05-28,14586,5570,1346,206081432,7.077784669120505,0.24165170556552962
2016,22,2016-05-29,2016-06-04,11813,5570,1237,206081432,5.732200075162521,0.22208258527827648
2016,23,2016-06-05,2016-06-11,9402,5570,1060,206081432,4.56227419848286,0.19030520646319568
2016,24,2016-06-12,2016-06-18,7492,5570,900,206081432,3.635456104555795,0.1615798922800718
2016,25,2016-06-19,2016-06-25,5926,5570,784,206081432,2.875562316550673,0.140754039497307
2016,26,2016-06-26,2016-07-02,5039,5570,742,206081432,2.4451499347112455,0.13321364452423698
2016,27,2016-07-03,2016-07-09,4520,5570,694,206081432,2.1933077406022683,0.12459605026929982
2016,28,2016-07-10,2016-07-16,4074,5570,657,206081432,1.9768884369941684,0.11795332136445243
2016,29,2016-07-17,2016-07-23,3408,5570,538,206081432,1.653715216808082,0.09658886894075404
2016,30,2016-07-24,2016-07-30,3016,5570,541,206081432,1.4634991472691243,0.09712746858168761
2016,31,2016-07-31,2016-08-06,2783,5570,543,206081432,1.3504370447115293,0.09748653500897667
2016,32,2016-08-07,2016-08-13,2559,5570,494,206081432,1.241742147832125,0.08868940754039498
2016,33,2016-08-14,2016-08-20,2665,5570,493,206081432,1.2931781258197004,0.08850987432675045
2016,34,2016-08-21,2016-08-27,2316,5570,453,206081432,1.1238275945209852,0.08132854578096949
2016,35,2016-08-28,2016-09-03,1990,5570,430,206081432,0.9656376999554234,0.07719928186714542
2016,36,2016-09-04,2016-09-10,1882,5570,423,206081432,0.913231231817139,0.07594254937163375
2016,37,2016-09-11,2016-09-17,2042,5570,441,206081432,0.9908704438738567,0.07917414721723519
2016,38,2016-09-18,2016-09-24,2002,5570,417,206081432,0.9714606408596772,0.07486535008976661
2016,39,2016-09-25,2016-10-01,1816,5570,439,206081432,0.8812050568437433,0.07881508078994615
2016,40,2016-10-02,2016-10-08,1851,5570,445,206081432,0.8981886344811502,0.07989228007181329
2016,41,2016-10-09,2016-10-15,2014,5570,454,206081432,0.9772835817639312,0.081508078994614
2016,42,2016-10-16,2016-10-22,2273,5570,501,206081432,1.1029620562807425,0.08994614003590665
2016,43,2016-10-23,2016-10-29,2196,5570,477,206081432,1.065598185478447,0.08563734290843807
2016,44,2016-10-30,2016-11-05,2346,5570,527,206081432,1.1383849467816198,0.09461400359066427
2016,45,2016-11-06,2016-11-12,2502,5570,516,206081432,1.2140831785369193,0.0926391382405745
2016,46,2016-11-13,2016-11-19,2861,5570,586,206081432,1.3882861605891792,0.1052064631956912
2016,47,2016-11-20,2016-11-26,3107,5570,607,206081432,1.5076564491263822,0.10897666068222621
2016,48,2016-11-27,2016-12-03,3460,5570,615,206081432,1.6789479607265152,0.11041292639138241
2016,49,2016-12-04,2016-12-10,3559,5570,625,206081432,1.726987223186609,0.11220825852782765
2016,50,2016-12-11,2016-12-17,3354,5570,578,206081432,1.6275119827389397,0.10377019748653502
2016,51,2016-12-18,2016-12-24,3236,5570,576,206081432,1.5702530638471108,0.10341113105924596
2016,52,2016-12-25,2016-12-31,3427,5570,627,206081432,1.6629348732398173,0.11256732495511669
2017,1,2017-01-01,2017-01-07,4986,5570,783,207660929,2.4010294204163944,0.14057450628366247
2017,2,2017-01-08,2017-01-14,5401,5570,840,207660929,2.6008744283331215,0.15080789946140036
2017,3,2017-01-15,2017-01-21,6361,5570,878,207660929,3.0631664948392867,0.1576301615798923
2017,4,2017-01-22,2017-01-28,6973,5570,901,207660929,3.3578776872369667,0.16175942549371633
2017,5,2017-01-29,2017-02-04,7610,5570,892,207660929,3.6646277355332453,0.16014362657091563
2017,6,2017-02-05,2017-02-11,7395,5570,896,207660929,3.5610935748053016,0.16086175942549372
2017,7,2017-02-12,2017-02-18,8203,5570,968,207660929,3.9501893974479905,0.17378815080789947
2017,8,2017-02-19,2017-02-25,7116,5570,875,207660929,3.4267399429769476,0.1570915619389587
2017,9,2017-02-26,2017-03-04,7813,5570,950,207660929,3.762383245429861,0.17055655296229802
2017,10,2017-03-05,2017-03-11,9039,5570,993,207660929,4.352768738697109,0.17827648114901257
2017,11,2017-03-12,2017-03-18,8924,5570,994,207660929,4.297390001563558,0.1784560143626571
2017,12,2017-03-19,2017-03-25,9319,5570,958,207660929,4.487603924761408,0.17199281867145422
2017,13,2017-03-26,2017-04-01,8860,5570,933,207660929,4.266570530463148,0.16750448833034112
2017,14,2017-04-02,2017-04-08,9630,5570,932,207660929,4.637367292139968,0.1673249551166966
2017,15,2017-04-09,2017-04-15,9619,5570,843,207660929,4.632070195544584,0.15134649910233394
2017,16,2017-04-16,2017-04-22,9708,5570,876,207660929,4.674928522543593,0.15727109515260324
2017,17,2017-04-23,2017-04-29,9035,5570,809,207660929,4.350842521753333,0.14524236983842012
2017,18,2017-04-30,2017-05-06,8763,5570,864,207660929,4.219859769576587,0.15511669658886895
2017,19,2017-05-07,2017-05-13,8423,5570,877,207660929,4.056131329355654,0.15745062836624776
2017,20,2017-05-14,2017-05-20,7877,5570,793,207660929,3.7932027165302724,0.14236983842010772
2017,21,2017-05-21,2017-05-27,6615,5570,757,207660929,3.185481270769043,0.13590664272890485
2017,22,2017-05-28,2017-06-03,6631,5570,765,207660929,3.193186138544146,0.13734290843806105
2017,23,2017-06-04,2017-06-10,5619,5570,689,207660929,2.705853251768897,0.1236983842010772
2017,24,2017-06-11,2017-06-17,4555,5570,629,207660929,2.193479544724564,0.11292639138240575
2017,25,2017-06-18,2017-06-24,4080,5570,617,207660929,1.964741282651201,0.11077199281867145
2017,26,2017-06-25,2017-07-01,3479,5570,576,207660929,1.6753271868489041,0.10341113105924596
2017,27,2017-07-02,2017-07-08,2697,5570,511,207660929,1.2987517743407573,0.09174147217235189
2017,28,2017-07-09,2017-07-15,2446,5570,504,207660929,1.1778816611188327,0.09048473967684022
2017,29,2017-07-16,2017-07-22,2060,5570,460,207660929,0.9920017260444789,0.08258527827648116
2017,30,2017-07-23,2017-07-29,1854,5570,424,207660929,0.8928015534400311,0.07612208258527828
2017,31,2017-07-30,2017-08-05,1972,5570,453,207660929,0.9496249532814138,0.08132854578096949
2017,32,2017-08-06,2017-08-12,1906,5570,453,207660929,0.917842373709115,0.08132854578096949
2017,33,2017-08-13,2017-08-19,1836,5570,457,207660929,0.8841335771930405,0.08204667863554757
2017,34,2017-08-20,2017-08-26,1717,5570,462,207660929,0.8268286231157138,0.0829443447037702
2017,35,2017-08-27,2017-09-02,1633,5570,453,207660929,0.7863780672964243,0.08132854578096949
2017,36,2017-09-03,2017-09-09,1456,5570,412,207660929,0.7011429675343502,0.07396768402154398
2017,37,2017-09-10,2017-09-16,1742,5570,475,207660929,0.8388674790143118,0.08527827648114901
2017,38,2017-09-17,2017-09-23,1666,5570,474,207660929,0.8022693570825739,0.0850987432675045
2017,39,2017-09-24,2017-09-30,1562,5570,480,207660929,0.7521877165444059,0.08617594254937164
2017,40,2017-10-01,2017-10-07,1717,5570,493,207660929,0.8268286231157138,0.08850987432675045
2017,41,2017-10-08,2017-10-14,1729,5570,515,207660929,0.8326072739470408,0.09245960502692999
