semana_epidemiologica,anos_disponiveis,casos_media,casos_mediana,casos_minimo,casos_maximo,incidencia_media_100mil,incidencia_mediana_100mil,incidencia_q25_100mil,incidencia_q75_100mil,incidencia_minima_100mil,incidencia_maxima_100mil
1,10,18357.7,12209.0,3334,51086,8.7624625524742,5.941544196862196,3.0541384967570577,11.83117200568341,1.5990798815702445,24.030999547237265
2,10,22004.2,13073.5,4025,61514,10.492578737070186,6.437653018287476,3.5007620569741924,15.37299722918398,1.9305028564247857,28.93636037561667
3,10,27818.1,16282.0,4786,89814,13.251640247845774,7.896706446448954,4.158049252905261,18.167416395530108,2.2954997939997575,42.24876078251513
4,10,34813.6,20005.5,4956,127225,16.562857816398576,9.690406821473335,4.534531329322112,22.007332112310536,2.3770365606065185,59.847001475888916
5,10,42188.3,25888.0,5762,164643,20.071862394241624,12.549950038139142,5.713576917749998,24.20361668445266,2.763616759930339,77.44853498915133
6,10,49828.2,31871.0,5214,201446,23.709290764776192,15.459478353495847,6.452125887945069,25.833855869781356,2.50078059463325,94.76077075505536
7,10,59046.9,34477.0,5800,249439,28.084985178636735,16.71137129858881,7.414176735656554,29.24443520671899,2.781842625407144,117.33681431435846
8,10,66115.9,37988.5,6427,310286,31.421687878028507,18.420554133247133,7.775447893491773,31.008703463100108,3.082569405774434,145.95941599487261
9,10,72267.0,43523.0,7568,342519,34.36736490485936,20.882217013514946,10.08414826482257,31.662781092089126,3.62982499811746,161.12191077634108
10,10,78098.2,52088.5,8485,364790,37.15294843763788,25.055600495839485,10.588167242509732,35.84654372319738,4.069643909755107,171.59825245344481
11,10,83598.9,54893.5,8859,392066,39.77442292119638,26.47809191049245,12.405111854197104,39.74078628787609,4.249024796289982,184.4289603509205
12,10,89858.1,64277.0,8852,433511,42.77620645095417,31.170409860163378,11.464940261513188,41.230164377092564,4.245667400017938,203.92480610582888
13,10,86774.5,72080.5,8657,375564,41.37272342939282,34.955113737528826,13.051845157298883,40.40154999504207,4.152139932439594,176.6663726648909
14,10,92656.4,77015.5,9630,414962,44.15509260682093,37.02136587201454,14.217141138532416,41.53919732705201,4.637367292139968,195.19930380379498
15,10,94080.5,75267.0,9619,419145,44.86281993799826,35.85926273828814,13.508860386610518,43.8191574716983,4.632070195544584,197.1669988886733
16,10,87954.2,63290.5,9708,383328,41.956057904956104,30.144739062918994,13.891820882688023,46.11147453734174,4.674928522543593,180.31858032422514
17,10,81557.9,61876.5,9035,332743,38.90484861230906,29.404158890715365,12.81112185833935,44.99584708552251,4.350842521753333,156.52325260044572
18,10,78935.2,50088.5,8763,324278,37.672759372439685,23.77583894130776,11.638687537220939,46.16540231658107,4.219859769576587,152.541292549407
19,10,75089.1,45646.0,8423,323492,35.794293681311245,21.44346596907792,10.53070718029863,41.24903951014688,4.056131329355654,152.17155591619775
20,10,65136.6,39696.0,7877,285862,31.02546663998341,18.64724004400945,8.790000931561526,33.066126866658394,3.7932027165302724,134.4702970005939
21,10,48690.4,32732.5,6615,201165,23.18030450450591,15.731763719881158,7.108470932520431,22.951819833681398,3.185481270769043,94.62858755666885
22,10,36353.9,25012.0,5704,127480,17.336843863522443,11.750915908058179,6.031308736414285,19.639802837391077,2.7357983336762675,59.96695420040337
23,10,27746.3,20022.0,5546,87924,13.239149929908127,9.408482965358044,5.013346178879449,15.62744147996874,2.660017103535866,41.359699412584455
24,10,23150.3,15608.5,4555,79647,11.043747335944335,7.337190393905593,4.04985348953719,12.830372710539937,2.193479544724564,37.46617509569758
25,10,18484.8,12633.5,4080,64108,8.81875824845659,5.942403101037909,3.274839935402483,10.563886503332787,1.964741282651201,30.15658534577549
26,10,14571.6,10410.5,3479,44686,6.9552858666143464,4.895963565230786,2.8602660856620736,8.611810473367887,1.6753271868489041,21.020421363345033
27,10,11744.3,9378.5,2697,31733,5.609009353416974,4.411363989423368,2.5704785792199547,7.216538371228632,1.2987517743407573,14.927293360851898
28,10,9447.2,7975.5,2446,21885,4.5166818905825075,3.7514722302680035,2.3078442212624397,6.324150205673005,1.1778816611188327,10.29476618038773
29,10,7882.1,6931.0,2060,17696,3.7684255016773505,3.2598162352723525,1.9535420098143168,5.351743788274208,0.9920017260444789,8.324248678462018
30,10,6864.0,6223.0,1854,15348,3.2815084785682047,2.926113536943511,1.7021219566398453,4.668052079025118,0.8928015534400311,7.219742807246556
31,10,6355.4,5702.0,1972,13598,3.0404237142928356,2.6722919127539297,1.5625178480632937,4.2245867210172,0.9496249532814138,6.396537835088524
32,10,5567.5,5257.5,1906,11313,2.663473885202607,2.4639435536940617,1.3889094223253204,3.698418665051184,0.917842373709115,5.321667342870751
