escala,grupo,ano_epidemiologico,semana_epidemiologica,data_inicio_semana,unidades_elegiveis,unidades_em_risco,proporcao_unidades_em_risco,incidencia_4s_media_100mil,incidencia_4s_mediana_100mil,limiar_p90_mediano_100mil
nacional,Brasil,2018,1,2017-12-31,5569,174,0.031244388579637277,3.8455355605505486,0.0,9.111463255640409
regional,Centro-Oeste,2018,1,2017-12-31,467,28,0.059957173447537475,14.725388755095885,0.0,62.13753106876553
regional,Nordeste,2018,1,2017-12-31,1793,59,0.03290574456218628,2.220168764505819,0.0,5.370569280343714
regional,Norte,2018,1,2017-12-31,450,15,0.03333333333333333,5.235500936564442,0.0,17.68885382112748
regional,Sudeste,2018,1,2017-12-31,1668,57,0.0341726618705036,4.320232471071031,0.0,21.11971611020931
regional,Sul,2018,1,2017-12-31,1191,15,0.012594458438287154,0.8363939631543359,0.0,0.0
nacional,Brasil,2018,2,2018-01-07,5569,185,0.033219608547315496,4.36347526964946,0.0,13.912075681691709
regional,Centro-Oeste,2018,2,2018-01-07,467,34,0.0728051391862955,19.680376260846856,0.0,94.64319515426841
regional,Nordeste,2018,2,2018-01-07,1793,67,0.0373675404350251,2.250256548816965,0.0,8.29416643627315
regional,Norte,2018,2,2018-01-07,450,17,0.03777777777777778,5.858384232758268,0.0,22.02339958603624
regional,Sudeste,2018,2,2018-01-07,1668,53,0.03177458033573141,4.535024554869901,0.0,31.44646310705636
regional,Sul,2018,2,2018-01-07,1191,14,0.011754827875734676,0.7338826268424249,0.0,0.0
nacional,Brasil,2018,3,2018-01-14,5569,190,0.03411743580535105,5.495124119413685,0.0,17.58705592683785
regional,Centro-Oeste,2018,3,2018-01-14,467,40,0.08565310492505353,26.665417645966794,3.7324574499850702,109.87646657148177
regional,Nordeste,2018,3,2018-01-14,1793,70,0.03904071388733965,2.9388709733129326,0.0,11.301350511386111
regional,Norte,2018,3,2018-01-14,450,19,0.042222222222222223,7.329203081769688,0.0,27.71742190045362
regional,Sudeste,2018,3,2018-01-14,1668,45,0.02697841726618705,5.185992123844544,0.0,40.76921154043094
regional,Sul,2018,3,2018-01-14,1191,16,0.01343408900083963,0.782388140914501,0.0,0.0
nacional,Brasil,2018,4,2018-01-21,5569,196,0.03519482851499371,6.696601749510826,0.0,22.53907589788819
regional,Centro-Oeste,2018,4,2018-01-21,467,42,0.08993576017130621,34.695352608917716,5.105166428425567,123.35526315789473
regional,Nordeste,2018,4,2018-01-21,1793,64,0.03569436698271054,3.3566307991439666,0.0,15.572515896822264
regional,Norte,2018,4,2018-01-21,450,20,0.044444444444444446,8.302716515256417,0.0,31.440536180974043
regional,Sudeste,2018,4,2018-01-21,1668,49,0.029376498800959234,6.184317460869807,0.0,53.28838992776268
regional,Sul,2018,4,2018-01-21,1191,21,0.017632241813602016,0.8568786693533654,0.0,0.0
nacional,Brasil,2018,5,2018-01-28,5569,189,0.03393787035374394,7.904742388827489,0.0,27.74694783573807
regional,Centro-Oeste,2018,5,2018-01-28,467,47,0.1006423982869379,42.24422354152867,6.258997308631157,135.1702625422407
regional,Nordeste,2018,5,2018-01-28,1793,53,0.029559397657557166,3.984894196266625,0.0,19.57099236206351
regional,Norte,2018,5,2018-01-28,450,19,0.042222222222222223,9.376034975728174,0.0,37.0273278550569
regional,Sudeste,2018,5,2018-01-28,1668,50,0.02997601918465228,6.960806781727956,0.0,67.31824061348931
regional,Sul,2018,5,2018-01-28,1191,20,0.016792611251049538,1.1072218510331062,0.0,0.0
nacional,Brasil,2018,6,2018-02-04,5569,189,0.03393787035374394,8.451032840450601,0.0,33.16849595947413
regional,Centro-Oeste,2018,6,2018-02-04,467,48,0.10278372591006424,44.667042450047276,7.093145097174407,145.9065117535801
regional,Nordeste,2018,6,2018-02-04,1793,53,0.029559397657557166,4.382285136395457,0.0,23.228519732016238
regional,Norte,2018,6,2018-02-04,450,22,0.04888888888888889,10.22333964701528,0.0,39.02472454255408
regional,Sudeste,2018,6,2018-02-04,1668,43,0.02577937649880096,7.328500329348016,0.0,81.7872245570549
regional,Sul,2018,6,2018-02-04,1191,23,0.019311502938706968,1.2782656794549965,0.0,0.7894778393570492
nacional,Brasil,2018,7,2018-02-11,5569,181,0.032501346740887053,8.84248402434617,0.0,36.95236902264116
regional,Centro-Oeste,2018,7,2018-02-11,467,47,0.1006423982869379,46.408484565518954,9.049773755656108,152.18769816106533
regional,Nordeste,2018,7,2018-02-11,1793,52,0.029001673173452314,4.743704987320582,0.0,26.891358910003586
regional,Norte,2018,7,2018-02-11,450,24,0.05333333333333334,10.099648928979523,0.0,42.17965452433682
regional,Sudeste,2018,7,2018-02-11,1668,38,0.022781774580335732,7.741288534592108,0.0,96.01884486310212
regional,Sul,2018,7,2018-02-11,1191,20,0.016792611251049538,1.3503416485980166,0.0,1.5144401871848072
nacional,Brasil,2018,8,2018-02-18,5569,186,0.03339917399892261,9.689220792843082,0.0,40.59265272985589
regional,Centro-Oeste,2018,8,2018-02-18,467,58,0.12419700214132762,51.50659002409903,9.049773755656108,155.96568754873928
regional,Nordeste,2018,8,2018-02-18,1793,53,0.029559397657557166,5.488751808933837,0.0,31.02657493592339
regional,Norte,2018,8,2018-02-18,450,28,0.06222222222222222,10.46618560291384,0.0,42.46869972646921
