ano_epidemiologico,semana_epidemiologica,regiao,casos_provaveis,populacao_regional,unidades_territoriais,incidencia_regional_100mil
2016,1,Norte,1030,17707783,450,5.816651356073202
2016,1,Nordeste,7995,56915936,1794,14.047032451508835
2016,1,Centro-Oeste,8747,15660988,467,55.852159518926904
2016,1,Sudeste,23506,86356952,1668,27.219580422430845
2016,1,Sul,1398,29439773,1191,4.748677919493469
2016,2,Norte,1351,17707783,450,7.629413574810579
2016,2,Nordeste,9151,56915936,1794,16.07809805675514
2016,2,Centro-Oeste,10043,15660988,467,64.12749949109212
2016,2,Sudeste,26254,86356952,1668,30.401721450289262
2016,2,Sul,1956,29439773,1191,6.644072968905025
2016,3,Norte,1649,17707783,450,9.312289404043408
2016,3,Nordeste,10002,56915936,1794,17.57328562601518
2016,3,Centro-Oeste,11173,15660988,467,71.34288079398311
2016,3,Sudeste,29865,86356952,1668,34.5832029828936
2016,3,Sul,2968,29439773,1191,10.081599474289424
2016,4,Norte,1766,17707783,450,9.973015820218714
2016,4,Nordeste,12263,56915936,1794,21.545811000982223
2016,4,Centro-Oeste,11190,15660988,467,71.4514307781859
2016,4,Sudeste,34046,86356952,1668,39.424735602062476
2016,4,Sul,3013,29439773,1191,10.234453913758099
2016,5,Norte,1768,17707783,450,9.984310288871283
2016,5,Nordeste,13921,56915936,1794,24.458879144146906
2016,5,Centro-Oeste,13101,15660988,467,83.65372606121657
2016,5,Sudeste,38713,86356952,1668,44.829048621354765
2016,5,Sul,3483,29439773,1191,11.83093361487536
2016,6,Norte,1977,17707783,450,11.164582263064778
2016,6,Nordeste,17933,56915936,1794,31.50787153882526
2016,6,Centro-Oeste,13540,15660988,467,86.45686977092377
2016,6,Sudeste,46582,86356952,1668,53.94122756903231
2016,6,Sul,4226,29439773,1191,14.354730248769242
2016,7,Norte,2487,17707783,450,14.044671769469955
2016,7,Nordeste,22102,56915936,1794,38.832709348749006
2016,7,Centro-Oeste,15352,15660988,467,98.02702102830294
2016,7,Sudeste,59368,86356952,1668,68.74721562660062
2016,7,Sul,4582,29439773,1191,15.563978703232527
2016,8,Norte,2103,17707783,450,11.876133788176645
2016,8,Nordeste,21082,56915936,1794,37.040592638237555
2016,8,Centro-Oeste,13701,15660988,467,87.48490197425603
2016,8,Sudeste,62512,86356952,1668,72.38791846196702
2016,8,Sul,5102,29439773,1191,17.330296670426094
2016,9,Norte,2052,17707783,450,11.588124837536128
2016,9,Nordeste,21462,56915936,1794,37.708243961761426
2016,9,Centro-Oeste,12915,15660988,467,82.46606152817434
2016,9,Sudeste,59353,86356952,1668,68.72984586116472
2016,9,Sul,5461,29439773,1191,18.549735420853956
2016,10,Norte,1744,17707783,450,9.848776665040452
2016,10,Nordeste,19486,56915936,1794,34.236457079437294
2016,10,Centro-Oeste,11606,15660988,467,74.10771274455992
2016,10,Sudeste,57332,86356952,1668,66.38955946476666
2016,10,Sul,5050,29439773,1191,17.153664873706738
2016,11,Norte,1305,17707783,450,7.369640795801485
2016,11,Nordeste,15869,56915936,1794,27.88147066579033
2016,11,Centro-Oeste,10436,15660988,467,66.63691971413299
2016,11,Sudeste,56107,86356952,1668,64.97102862083413
2016,11,Sul,4454,29439773,1191,15.129192742077189
2016,12,Norte,1246,17707783,450,7.036453970550689
2016,12,Nordeste,13821,56915936,1794,24.283181427430097
2016,12,Centro-Oeste,9167,15660988,467,58.533982658054526
2016,12,Sudeste,49374,86356952,1668,57.17431990883606
2016,12,Sul,5021,29439773,1191,17.05515867938248
2016,13,Norte,1489,17707783,450,8.408731911837862
2016,13,Nordeste,13136,56915936,1794,23.07965206791996
2016,13,Centro-Oeste,9525,15660988,467,60.8199176195014
2016,13,Sudeste,53060,86356952,1668,61.44265026861995
2016,13,Sul,4655,29439773,1191,15.811942571703934
2016,14,Norte,1452,17707783,450,8.19978424176533
2016,14,Nordeste,12107,56915936,1794,21.271722562904
2016,14,Centro-Oeste,8541,15660988,467,54.53678912211669
2016,14,Sudeste,52839,86356952,1668,61.1867357245309
2016,14,Sul,4523,29439773,1191,15.36356954926249
2016,15,Norte,1477,17707783,450,8.340965099922448
2016,15,Nordeste,11048,56915936,1794,19.411083742872997
2016,15,Centro-Oeste,7943,15660988,467,50.71838379545403
2016,15,Sudeste,46360,86356952,1668,53.68415504058086
2016,15,Sul,4165,29439773,1191,14.147527564156151
2016,16,Norte,1176,17707783,450,6.641147567710763
2016,16,Nordeste,10357,56915936,1794,18.197012520359852
2016,16,Centro-Oeste,5893,15660988,467,37.62853275923588
2016,16,Sudeste,37713,86356952,1668,43.671064258960875
2016,16,Sul,3528,29439773,1191,11.983788054344032
2016,17,Norte,1077,17707783,450,6.082071369408581
2016,17,Nordeste,9236,56915936,1794,16.227441115964428
2016,17,Centro-Oeste,4820,15660988,467,30.777113168083645
2016,17,Sudeste,32071,86356952,1668,37.13771648633453
2016,17,Sul,2110,29439773,1191,7.167174828420043
2016,18,Norte,950,17707783,450,5.364872609970429
2016,18,Nordeste,8314,56915936,1794,14.607508167835455
2016,18,Centro-Oeste,3965,15660988,467,25.31768749200242
2016,18,Sudeste,22482,86356952,1668,26.033804435339498
2016,18,Sul,1023,29439773,1191,3.474890923921186
2016,19,Norte,897,17707783,450,5.065569190677342
2016,19,Nordeste,7064,56915936,1794,12.411286708875348
2016,19,Centro-Oeste,3384,15660988,467,21.607832149542546
2016,19,Sudeste,14822,86356952,1668,17.16364421940228
2016,19,Sul,644,29439773,1191,2.1875168670628
2016,20,Norte,656,17707783,450,3.704585718042739
2016,20,Nordeste,7048,56915936,1794,12.38317507420066
2016,20,Centro-Oeste,2609,15660988,467,16.659229928533247
2016,20,Sudeste,10448,86356952,1668,12.098620618291392
2016,20,Sul,413,29439773,1191,1.4028640777902737
2016,21,Norte,491,17707783,450,2.772792054205769
2016,21,Nordeste,5647,56915936,1794,9.921650062998173
2016,21,Centro-Oeste,1918,15660988,467,12.246992335349468
2016,21,Sudeste,6278,86356952,1668,7.269825827108859
2016,21,Sul,252,29439773,1191,0.8559848610245737
2016,22,Norte,478,17707783,450,2.699378007964069
2016,22,Nordeste,4908,56915936,1794,8.623243936460959
2016,22,Centro-Oeste,1681,15660988,467,10.733677849698882
2016,22,Sudeste,4588,86356952,1668,5.31283225466318
2016,22,Sul,158,29439773,1191,0.5366889208011216
2016,23,Norte,450,17707783,450,2.541255446828098
2016,23,Nordeste,4485,56915936,1794,7.880042594748859
2016,23,Centro-Oeste,1473,15660988,467,9.40553686651187
2016,23,Sudeste,2915,86356952,1668,3.3755244163781972
2016,23,Sul,79,29439773,1191,0.2683444604005608
2016,24,Norte,399,17707783,450,2.2532464961875807
2016,24,Nordeste,3994,56915936,1794,7.0173668056693295
2016,24,Centro-Oeste,1103,15660988,467,7.0429783868042035
2016,24,Sudeste,1912,86356952,1668,2.214066100897123
2016,24,Sul,84,29439773,1191,0.28532828700819124
2016,25,Norte,367,17707783,450,2.0725349977464713
2016,25,Nordeste,3240,56915936,1794,5.692606021624594
2016,25,Centro-Oeste,932,15660988,467,5.951093251587959
2016,25,Sudeste,1312,86356952,1668,1.5192754834607873
2016,25,Sul,75,29439773,1191,0.2547573991144565
2016,26,Norte,311,17707783,450,1.7562898754745302
2016,26,Nordeste,2901,56915936,1794,5.096990761954613
2016,26,Centro-Oeste,680,15660988,467,4.341999368111386
2016,26,Sudeste,1067,86356952,1668,1.2355693146742837
2016,26,Sul,80,29439773,1191,0.2717412257220869
2016,27,Norte,302,17707783,450,1.705464766537968
2016,27,Nordeste,2645,56915936,1794,4.647204607159583
2016,27,Centro-Oeste,620,15660988,467,3.95888177680744
2016,27,Sudeste,893,86356952,1668,1.0340800356177462
2016,27,Sul,60,29439773,1191,0.20380591929156516
2016,28,Norte,290,17707783,450,1.637697954622552
2016,28,Nordeste,2359,56915936,1794,4.144709137349511
2016,28,Centro-Oeste,543,15660988,467,3.4672142013007097
2016,28,Sudeste,820,86356952,1668,0.949547177162992
2016,28,Sul,62,29439773,1191,0.21059944993461738
2016,29,Norte,244,17707783,450,1.3779251756134576
2016,29,Nordeste,2076,56915936,1794,3.6474845990409435
2016,29,Centro-Oeste,455,15660988,467,2.905308400721589
2016,29,Sudeste,594,86356952,1668,0.6878427112619723
2016,29,Sul,39,29439773,1191,0.13247384753951738
2016,30,Norte,214,17707783,450,1.2085081458249178
2016,30,Nordeste,1782,56915936,1794,3.1309333118935267
2016,30,Centro-Oeste,426,15660988,467,2.7201348982580154
2016,30,Sudeste,544,86356952,1668,0.6299434931422776
2016,30,Sul,50,29439773,1191,0.1698382660763043
2016,31,Norte,197,17707783,450,1.1125051622780786
2016,31,Nordeste,1607,56915936,1794,2.8234623076391117
2016,31,Centro-Oeste,443,15660988,467,2.8286848824608
2016,31,Sudeste,493,86356952,1668,0.5708862906601891
2016,31,Sul,43,29439773,1191,0.14606090882562173
